AS7418,TELEFÓNICA CHILE S.A.,ISP,
AS22047,VTR BANDA ANCHA S.A.,ISP,
AS6535,Telmex Servicios Empresariales S.A,ISP,
AS27651,ENTEL CHILE S.A.,ISP,
AS14117,Telefonica del Sur S.A.,ISP,
AS27995,CLARO CHILE S.A.,ISP,
AS27680,TELEFONICA MOVIL DE CHILE S.A.,Hosting,
AS14259,Gtd Internet S.A.,ISP,
AS16629,CTC. CORP S.A. (TELEFONICA EMPRESAS),ISP,
AS27925,Entel PCS Telecomunicaciones S.A.,ISP,
AS6429,Telmex Chile Internet S.A.,ISP,
AS15311,Telefonica Empresas,ISP,
AS18822,Manquehuenet,ISP,
AS11340,Red Universitaria Nacional,Education,
AS6471,ENTEL CHILE S.A.,ISP,
AS27897,SEGIC USACH LTDA,ISP,
AS52226,CODELCO Chuquicamata,Business,
AS16742,Universidad Catolica de Valparaiso,Education,
AS17147,Ministerio del Interior y de Seguridad Publica - Gobierno de Chile,ISP,
AS20191,Pontificia Universidad Catolica de Chile,Education,
AS16780,Banco Santander,Business,
AS27901,Pacifico Cable SPA.,ISP,
AS7004,CTC Transmisiones Regionales S.A.,ISP,
AS10778,MCL Internet,ISP,
AS27836,Smartcom,Business,
AS264681,Sociedad de Telecomunicaciones Netsouth SPA,ISP
AS23140,Universidad de Chile,Education,
AS52489,TELEFÓNICA CHILE S.A.,ISP,
AS52439,OPTIC,ISP,
AS20015,FullCom S.A.,ISP,
AS264780,HomeNet LTDA,ISP,
AS61466,TV Cable Loncomilla S.A.,ISP,
AS27659,Ingeniería e Informática Asociada Ltda (IIA Ltda),Hosting,
AS22860,SERVICIOS INTERNET LTDA,Business,
AS52341,WOM S.A.,ISP,
AS27986,ENTEL CHILE S.A.,Business,
AS262237,Orbyta S.A.,ISP,
AS262213,Comsat Limitada,ISP,
AS52368,ZAM LTDA.,Hosting,
AS13381,CMET SACI,ISP,
AS52435,Plug and play Net S.A.,ISP,
AS263173,Telmex Chile Internet S.A.,ISP,
AS265642,INETAMERICAS COMUNICACIONES LIMITADA,ISP,
AS27979,Stel Chile S.A.,Business,
AS28098,ABGON COMUNICACIONES,Business,
AS263702,GRUPO ZGH SPA,Hosting,
AS16874,SONDA S.A.,ISP,
AS262256,Servicios Informáticos Hostname Ltda,Hosting,
AS26610,Universidad Tecnica Federico Santa Maria,Education,
AS16471,Adexus S.A.,Business,
AS265831,SOC. COMERCIAL WIRENET CHILE LTDA.,Hosting,
AS61460,NETLAND CHILE S.A.,ISP,
AS23416,Telefonica Data Chile S.A.,Business,
AS16849,NewPlanet S.A,Business,
AS263249,Master Base SA,Business,
AS28099,iHosting Servicios Internet Ltda.,Hosting,
AS263237,PowerHost Telecom SPA,ISP,
AS52280,INTERNEXA Chile S.A.,ISP,
AS263700,GIGAS HOSTING,Hosting,
AS270065,CHILE TV CABLE S.A.,ISP,
AS13424,Intercity,Business,
AS269993,COMPAÑÍA CHILENA DE COMUNICACIONES PARALLEL S.A.,ISP,
AS17126,E-money,Business,
AS52510,MI INTERNET SPA,ISP,
AS265714,TV CABLE DEL SUR LTDA,ISP,
AS27735,TIVIT CHILE TERCERIZACIÓN DE PROCESOS, SERVICIOS Y TECNOLOGÍA SpA,Business,
