l0,l23
l1,l180
l1,l78
l2,l58
l3,l86
l4,l208
l4,l276
l4,l108
l5,l178
l6,l297
l7,l58
l7,l63
l7,l256
l8,l208
l9,l208
l10,l175
l11,l258
l12,l125
l12,l175
l12,l53
l12,l68
l12,l110
l13,l175
l14,l62
l15,l276
l15,l58
l16,l121
l17,l155
l17,l136
l18,l191
l19,l208
l20,l175
l21,l175
l22,l186
l22,l133
l22,l121
l22,l28
l22,l173
l23,l167
l23,l192
l23,l158
l23,l130
l23,l252
l23,l265
l23,l257
l24,l253
l24,l86
l24,l98
l24,l191
l25,l208
l26,l82
l27,l121
l28,l208
l28,l170
l28,l159
l28,l287
l28,l216
l28,l279
l29,l146
l30,l64
l31,l86
l32,l58
l33,l263
l34,l175
l35,l265
l36,l134
l37,l121
l38,l62
l39,l240
l39,l139
l39,l191
l40,l58
l41,l252
l41,l175
l41,l262
l41,l132
l42,l175
l43,l121
l44,l79
l44,l175
l44,l62
l45,l121
l46,l258
l47,l82
l48,l58
l49,l104
l50,l261
l51,l60
l51,l58
l52,l58
l52,l91
l54,l196
l55,l129
l55,l175
l55,l250
l56,l245
l56,l224
l57,l121
l58,l136
l58,l164
l58,l295
l58,l285
l58,l144
l58,l223
l58,l175
l58,l161
l58,l82
l58,l95
l58,l290
l58,l74
l58,l264
l58,l189
l58,l276
l58,l59
l58,l107
l58,l271
l58,l298
l58,l204
l58,l215
l58,l157
l58,l233
l58,l288
l58,l191
l58,l266
l58,l132
l58,l78
l58,l160
l58,l248
l58,l96
l58,l212
l58,l220
l58,l190
l58,l91
l58,l177
l58,l246
l59,l191
l59,l175
l61,l208
l63,l117
l63,l283
l63,l247
l63,l122
l63,l175
l64,l121
l64,l127
l64,l297
l64,l119
l65,l178
l66,l176
l67,l208
l68,l136
l68,l213
l68,l278
l69,l175
l70,l121
l71,l82
l72,l232
l73,l175
l75,l149
l76,l208
l76,l86
l77,l208
l78,l191
l80,l121
l80,l108
l80,l86
l81,l262
l81,l121
l81,l157
l81,l175
l82,l191
l82,l193
l82,l259
l82,l201
l82,l252
l82,l245
l82,l208
l82,l212
l83,l203
l84,l91
l85,l136
l86,l208
l86,l281
l86,l182
l86,l145
l86,l132
l86,l157
l86,l188
l86,l128
l86,l225
l86,l234
l86,l121
l86,l175
l86,l99
l86,l111
l87,l142
l88,l208
l89,l121
l89,l137
l90,l217
l90,l239
l92,l175
l93,l175
l94,l114
l97,l174
l100,l121
l100,l196
l100,l181
l101,l286
l101,l113
l102,l212
l102,l140
l103,l145
l103,l261
l104,l175
l105,l208
l106,l191
l109,l136
l112,l136
l114,l137
l114,l244
l115,l265
l116,l175
l118,l208
l119,l241
l120,l263
l121,l265
l121,l270
l121,l262
l121,l295
l121,l202
l121,l215
l121,l123
l121,l282
l121,l253
l121,l150
l121,l212
l121,l196
l121,l205
l121,l175
l121,l291
l121,l286
l121,l139
l121,l273
l121,l163
l121,l232
l121,l263
l121,l221
l121,l239
l121,l191
l123,l265
l124,l136
l126,l130
l127,l147
l127,l208
l130,l163
l130,l136
l131,l136
l132,l169
l132,l136
l132,l134
l132,l157
l135,l262
l136,l178
l136,l251
l136,l210
l136,l274
l136,l175
l136,l160
l136,l154
l136,l267
l136,l254
l136,l290
l136,l149
l137,l179
l137,l276
l137,l175
l138,l157
l140,l277
l141,l203
l142,l191
l143,l178
l146,l186
l148,l223
l149,l212
l149,l227
l149,l176
l151,l264
l152,l252
l153,l175
l153,l275
l154,l253
l155,l175
l156,l208
l157,l208
l157,l232
l157,l200
l157,l218
l162,l163
l163,l276
l163,l175
l165,l177
l165,l201
l166,l260
l168,l201
l169,l175
l171,l208
l172,l208
l174,l175
l175,l269
l175,l284
l175,l230
l175,l258
l175,l247
l175,l185
l175,l186
l175,l294
l175,l280
l175,l268
l175,l183
l175,l299
l175,l264
l175,l184
l175,l249
l175,l262
l175,l187
l175,l292
l175,l196
l175,l202
l176,l223
l176,l258
l176,l208
l178,l235
l182,l231
l185,l265
l187,l222
l187,l236
l191,l223
l191,l289
l191,l214
l191,l211
l191,l203
l191,l238
l191,l293
l191,l208
l191,l240
l191,l195
l194,l289
l197,l220
l198,l208
l199,l223
l206,l208
l207,l208
l208,l228
l208,l209
l208,l232
l208,l229
l208,l260
l212,l270
l212,l296
l212,l280
l219,l292
l226,l286
l232,l242
l232,l240
l232,l272
l237,l243
l243,l262
l245,l276
l247,l276
l255,l282
l260,l262
l271,l295
l276,l286
