p1999,p24
p1002,p0
p1001,p0
p1000,p4
p1548,p15
p998,p15
p997,p2
p996,p21
p995,p14
p994,p70
p993,p19
p992,p3
p991,p43
p990,p102
p989,p17
p988,p7
p987,p40
p986,p12
p985,p69
p984,p29
p1003,p55
p1549,p13
p1547,p16
p1006,p73
p1025,p45
p1024,p86
p1023,p97
p1022,p99
p1021,p35
p1020,p175
p1019,p5
p1018,p8
p1545,p80
p1016,p23
p1015,p22
p1014,p25
p1013,p110
p1012,p39
p1011,p59
p1010,p297
p1009,p32
p1008,p101
p1546,p82
p1005,p1
p982,p1
p981,p120
p980,p58
p955,p46
p954,p49
p953,p10
p1553,p62
p951,p1590
p950,p84
p949,p20
p948,p153
p947,p30
p946,p50
p945,p1303
p944,p268
p943,p66
p942,p308
p941,p1528
p940,p27
p1554,p869
p938,p1059
p937,p1534
p956,p124
p1552,p220
p1551,p1942
p959,p1630
p979,p272
p978,p26
p977,p130
p976,p621
p975,p90
p1550,p502
p973,p1328
p972,p495
p971,p486
p1026,p100
p970,p117
p968,p265
p967,p528
p966,p6
p965,p83
p964,p1401
p963,p1279
p962,p41
p961,p163
p960,p34
p969,p534
p936,p493
p1544,p77
p1542,p206
p1096,p161
p1095,p293
p1094,p174
p1529,p1146
p1092,p1007
p1091,p121
p1090,p866
p1089,p231
p1088,p215
p1087,p111
p1086,p38
p1085,p296
p1530,p765
p1083,p18
p1082,p95
p1081,p635
p1080,p431
p1079,p555
p1078,p815
p1097,p159
p1077,p31
p1098,p106
p1527,p185
p1524,p232
p1118,p235
p1117,p145
p1116,p229
p1525,p33
p1114,p133
p1113,p183
p1112,p244
p1111,p209
p1110,p93
p1109,p323
p1526,p665
p1107,p376
p1106,p379
p1105,p188
p1104,p197
p1103,p193
p1102,p191
p1101,p190
p1099,p462
p1531,p187
p1075,p205
p1074,p378
p1048,p805
p1047,p439
p1046,p180
p1045,p198
p1044,p370
p1043,p1271
p1042,p367
p1041,p365
p1040,p360
p1538,p216
p1038,p357
p1539,p223
p1540,p225
p1541,p346
p1034,p823
p1033,p319
p1032,p237
p1031,p310
p1030,p952
p1049,p274
p1537,p491
p1051,p286
p1052,p143
p1532,p135
p1072,p72
p1071,p112
p1070,p67
p1069,p91
p1067,p147
p1066,p149
p1065,p131
p1064,p137
p1543,p158
p1535,p134
p1061,p1783
p1060,p238
p1536,p139
p1058,p1998
p1057,p243
p1056,p358
p1055,p219
p1054,p608
p1053,p616
p1062,p247
p935,p92
p1555,p251
p1556,p253
p812,p333
p811,p1050
p810,p264
p809,p51
p808,p318
p807,p127
p806,p76
p1585,p122
p804,p284
p803,p571
p802,p1119
p801,p248
p800,p123
p799,p705
p1586,p200
p797,p440
p796,p165
p1587,p1907
p794,p651
p813,p384
p793,p144
p1584,p192
p816,p195
p835,p196
p1578,p151
p833,p150
p1579,p104
p831,p202
p830,p1503
p829,p698
p828,p214
p827,p490
p826,p146
p825,p63
p1580,p309
p1581,p316
p822,p544
p821,p312
p820,p390
p819,p119
p818,p171
p1582,p448
p1583,p78
p792,p425
p791,p98
p790,p304
p1593,p301
p764,p48
p763,p299
p762,p65
p761,p525
p760,p1697
p759,p108
p758,p53
p757,p125
p756,p88
p755,p814
p754,p340
p753,p1035
p752,p369
p751,p939
p750,p64
p1594,p89
p748,p479
p1494,p113
p766,p329
p767,p328
p768,p325
p769,p103
p789,p844
p788,p71
p787,p277
p1588,p295
p785,p246
p784,p132
p783,p36
p782,p136
p781,p563
p836,p138
p1589,p230
p778,p226
p777,p141
p776,p1374
p775,p213
p774,p199
p773,p194
p1591,p152
p1592,p690
p770,p155
p779,p156
p837,p162
p838,p184
p839,p182
p908,p179
p907,p178
p906,p166
p905,p169
p904,p245
p903,p96
p902,p594
p901,p267
p900,p1115
p1560,p289
p898,p280
p1561,p279
p896,p278
p895,p436
p894,p271
p1562,p269
p892,p129
p891,p128
p890,p42
p909,p263
p910,p817
p911,p680
p912,p771
p932,p798
p931,p719
p930,p858
p929,p855
p928,p739
p1557,p853
p926,p849
p1558,p846
p924,p845
p889,p689
p923,p707
p921,p786
p1559,p834
p919,p795
p918,p772
p917,p749
p916,p832
p915,p732
p914,p711
p913,p746
p922,p740
p1120,p824
p888,p704
p886,p780
p859,p61
p1571,p170
p857,p60
p856,p1068
p1572,p1076
p854,p1084
p1573,p1093
p852,p1100
p851,p1108
p850,p44
p1574,p1160
p848,p1197
p847,p1213
p1575,p1226
p1577,p1269
p843,p1277
p842,p37
p841,p1282
p840,p1285
p860,p1297
p861,p28
p862,p1337
p863,p1344
p885,p1368
p884,p1395
p1563,p11
p882,p1413
p1564,p1442
p1565,p1455
p1566,p1460
p878,p1464
p876,p1073
p887,p667
p875,p867
p873,p52
p872,p57
p871,p877
p870,p879
p868,p880
p1569,p881
p1570,p883
p865,p893
p864,p897
p874,p899
p1595,p920
p1121,p925
p1123,p927
p1376,p933
p1375,p934
p1506,p54
p1373,p957
p1372,p958
p1371,p974
p1370,p983
p1369,p1004
p1507,p1017
p1367,p1027
p1366,p1028
p1365,p1029
p1364,p1036
p1363,p1037
p1362,p1039
p1361,p1063
p1360,p441
p1359,p666
p1358,p657
p1377,p291
p1357,p126
p1378,p300
p1380,p306
p1399,p311
p1398,p314
p1397,p317
p1396,p118
p1505,p321
p1394,p322
p1393,p115
p1392,p324
p1391,p326
p1390,p332
p1389,p338
p1388,p339
p1387,p341
p1386,p344
p1385,p114
p1384,p349
p1383,p352
p1382,p354
p1381,p355
p1379,p356
p1356,p359
p1355,p290
p1354,p288
p1329,p1481
p1510,p233
p1327,p172
p1326,p181
p1325,p164
p1324,p154
p1323,p203
p1322,p204
p1321,p207
p1320,p217
p1319,p218
p1318,p142
p1317,p140
p1316,p234
p1315,p281
p1314,p236
p1313,p240
p1312,p242
p1311,p250
p1330,p254
p1331,p256
p1332,p259
p1333,p262
p1353,p270
p1352,p273
p1351,p276
p1350,p361
p1349,p362
p1348,p109
p1347,p576
p1346,p499
p1345,p509
p1400,p514
p1508,p519
p1342,p520
p1341,p521
p1340,p87
p1339,p85
p1338,p548
p1509,p564
p1336,p572
p1335,p578
p1334,p497
p1343,p582
p1310,p586
p1504,p591
p1403,p600
p1470,p615
p1469,p74
p1468,p636
p1467,p641
p1466,p648
p1465,p650
p1463,p652
p1462,p498
p1461,p94
p1499,p107
p1459,p411
p1458,p372
p1457,p105
p1456,p387
p1500,p388
p1454,p389
p1453,p392
p1452,p395
p1451,p396
p1471,p397
p1450,p398
p1472,p401
p1474,p415
p1493,p478
p1492,p427
p1491,p433
p1490,p434
p1489,p442
p1488,p445
p1487,p453
p1486,p456
p1485,p457
p1484,p459
p1483,p463
p1482,p465
p1496,p1479
p1480,p999
p1497,p1533
p1478,p1606
p1477,p1768
p1476,p1567
p1475,p1676
p1473,p1637
p1449,p1568
p1448,p1954
p1447,p1498
p1422,p1689
p1421,p1949
p1420,p1993
p1419,p1721
p1418,p1576
p1417,p500
p1416,p1650
p1415,p496
p1414,p1649
p1502,p1648
p1412,p1647
p1411,p508
p1410,p501
p1409,p507
p1408,p1646
p1407,p503
p1406,p505
p1405,p506
p1404,p1645
p1423,p504
p1424,p1495
p1425,p494
p1426,p1651
p1446,p472
p1445,p473
p1444,p474
p1443,p475
p1501,p476
p1441,p477
p1440,p1656
p1439,p1655
p1438,p480
p1402,p481
p1437,p482
p1435,p483
p1434,p484
p1433,p485
p1432,p1654
p1431,p487
p1430,p488
p1429,p489
p1428,p1653
p1427,p1652
p1436,p510
p1309,p492
p1308,p513
p1307,p511
p1189,p546
p1188,p536
p1187,p537
p1186,p538
p1185,p539
p1184,p540
p1183,p541
p1182,p542
p1181,p543
p1180,p545
p1179,p547
p1178,p512
p1177,p1636
p1176,p549
p1175,p550
p1174,p551
p1173,p552
p1172,p553
p1171,p554
p1190,p1635
p1170,p556
p1191,p535
p1193,p1638
p1212,p533
p1211,p532
p1210,p470
p1209,p1644
p1208,p515
p1207,p516
p1206,p517
p1205,p518
p1204,p1643
p1203,p1642
p1202,p1641
p1201,p522
p1200,p523
p1199,p524
p1198,p1640
p1521,p526
p1196,p527
p1195,p1639
p1194,p529
p1192,p530
p1169,p531
p1168,p471
p1167,p1657
p1142,p469
p1141,p400
p1140,p402
p1139,p403
p1138,p404
p1137,p405
p1136,p406
p1135,p407
p1134,p408
p1133,p409
p1132,p410
p1131,p1677
p1130,p412
p1129,p413
p1128,p414
p1127,p416
p1126,p417
p1125,p418
p1124,p419
p1143,p420
p1144,p421
p1145,p1678
p1523,p399
p1166,p423
p1165,p1679
p1164,p1690
p1163,p380
p1162,p381
p1161,p382
p1522,p383
p1159,p1688
p1158,p385
p1520,p386
p1157,p1687
