p613,p296
p292,p1362
p831,p1482
p99,p1882
p1254,p838
p1084,p774
p507,p1661
p1770,p1524
p970,p383
p1900,p912
p224,p1067
p1819,p1232
p1360,p245
p1816,p1294
p229,p39
p1814,p520
p1808,p1612
p791,p1867
p789,p469
p483,p899
p1387,p306
p773,p470
p1392,p177
p1396,p630
p1908,p1030
p256,p308
p1781,p170
p1399,p1031
p1401,p463
p265,p632
p807,p999
p222,p156
p1340,p834
p210,p680
p122,p830
p1240,p338
p121,p1140
p905,p336
p1261,p1044
p1876,p955
p1874,p1729
p166,p645
p176,p658
p1303,p145
p860,p146
p185,p316
p1854,p651
p195,p1265
p1843,p1878
p1842,p1737
p201,p963
p1325,p892
p758,p1274
p1222,p1193
p827,p1821
p1228,p1277
p1100,p574
p741,p1817
p1212,p1191
p596,p998
p402,p1812
p572,p995
p1658,p259
p567,p236
p565,p522
p563,p875
p558,p548
p555,p526
p426,p1004
p1640,p972
p436,p891
p442,p1168
p1631,p616
p446,p689
p515,p609
p512,p849
p506,p279
p1587,p1597
p1617,p598
p1615,p1012
p1592,p884
p474,p1677
p1508,p491
p1761,p586
p1682,p966
p375,p274
p281,p856
p1756,p340
p737,p1896
p1420,p1368
p290,p736
p322,p717
p325,p1962
p327,p1393
p666,p935
p1469,p724
p1474,p36
p1475,p423
p654,p1246
p1479,p1984
p1710,p810
p348,p1703
p355,p1114
p358,p805
p1491,p1062
p366,p1431
p1497,p417
p628,p1948
p622,p361
p1687,p1357
p112,p1063
p1381,p923
p17,p779
p1007,p1660
p55,p1718
p1040,p1955
p1977,p752
p1045,p1082
p1050,p1237
p980,p72
p1923,p772
p1134,p819
p1079,p1445
p1958,p1915
p1147,p1133
p1195,p394
p82,p437
p1926,p1665
p1058,p344
p1968,p1996
p1970,p1441
p1124,p788
p1159,p1711
p1026,p388
p83,p1974
p1945,p41
p1145,p1965
p636,p1249
p1486,p4
p640,p1975
p1129,p707
p642,p1055
p1131,p86
p1485,p81
p639,p1382
p1490,p7
p1206,p1433
p1494,p692
p1506,p883
p610,p1276
p611,p1668
p612,p1588
p1122,p438
p1060,p511
p1504,p1670
p1503,p1278
p1502,p510
p617,p401
p619,p400
p1059,p518
p620,p1576
p624,p1574
p625,p399
p626,p525
p644,p527
p1127,p1569
p1495,p871
p1128,p1272
p1498,p487
p1132,p492
p646,p1248
p1447,p1645
p1446,p428
p693,p1621
p694,p461
p1444,p906
p696,p451
p699,p1628
p690,p448
p700,p1639
p702,p1289
p1439,p435
p706,p1632
p708,p1633
p1435,p913
p710,p440
p711,p1646
p701,p1619
p1449,p928
p1450,p425
p686,p407
p647,p409
p649,p927
p650,p1270
p1477,p1598
p1138,p1599
p659,p924
p1472,p1600
p661,p488
p665,p415
p1144,p485
p667,p1606
p1466,p471
p671,p420
p674,p920
p676,p535
p1461,p593
p1453,p540
p1483,p731
p1064,p1350
p604,p1349
p605,p716
p1108,p714
p514,p1346
p1083,p1438
p1580,p818
p517,p820
p519,p697
p1577,p695
p1575,p821
p523,p1448
p1571,p685
p1110,p1336
p1570,p1459
p528,p1460
p1081,p678
p1111,p677
p530,p675
p531,p673
p538,p669
p539,p835
p1582,p1329
p542,p662
p1584,p660
p1086,p1352
p1604,p1419
p1603,p837
p486,p1418
p1594,p1371
