p419,p1380
p109,p410
p566,p127
p1472,p1234
p96,p202
p577,p1590
p841,p1765
p1829,p1498
p1830,p1763
p86,p1594
p1835,p64
p1451,p62
p1193,p1129
p80,p946
p1196,p196
p1432,p953
p777,p1738
p1891,p929
p56,p767
p299,p611
p1781,p516
p1157,p1914
p1155,p1732
p438,p1292
p195,p186
p483,p513
p1638,p1297
p996,p753
p172,p750
p1652,p1095
p1572,p615
p167,p71
p221,p114
p1906,p1090
p958,p1583
p1696,p885
p944,p1816
p1100,p1548
p144,p1802
p139,p430
p539,p896
p1737,p1828
p448,p1195
p904,p567
p1691,p212
p386,p902
p192,p1837
p677,p1571
p627,p1840
p729,p239
p1968,p408
p340,p842
p27,p1215
p636,p1216
p330,p837
p686,p1852
p742,p440
p1254,p834
p1347,p1857
p1287,p922
p1092,p1777
p1298,p1863
p1093,p616
p1294,p1273
p1293,p223
p1094,p1010
p1096,p1036
p1290,p1984
p1289,p1056
p1103,p500
p1104,p653
p1106,p332
p1139,p683
p1107,p687
p1135,p1366
p1085,p1001
p1108,p1687
p1111,p1012
p1288,p1973
p1134,p1069
p1114,p150
p1117,p701
p1120,p1363
p1122,p493
p1130,p1990
p1126,p1357
p1251,p1080
p1083,p1402
p1301,p1665
p1028,p1089
p1309,p1324
p1030,p1664
p1031,p432
p1033,p1170
p1037,p1171
p1040,p1050
p1042,p1145
p1308,p425
p1043,p1144
p1307,p1143
p1306,p480
p1046,p1148
p1048,p1173
p1084,p1141
p1049,p1047
p1053,p1062
p1304,p1063
p1055,p1064
p1302,p1140
p1060,p1174
p1061,p1169
p1066,p1059
p1067,p427
p1068,p474
p1071,p1161
p1075,p478
p1076,p433
p1078,p431
p1142,p477
p1052,p1158
p1146,p1054
p1151,p1156
p1150,p1051
p1192,p443
p1262,p436
p1261,p1154
p1199,p1153
p1200,p1152
p1205,p428
p1206,p1149
p1207,p1058
p1208,p1057
p1209,p1091
p1210,p1138
p1211,p1101
p1212,p1112
p1214,p453
p1218,p468
p1219,p1110
p1221,p1077
p1247,p467
p1246,p1079
p1244,p1109
p1241,p455
p1238,p1105
p1257,p1102
p1190,p1081
p1258,p1113
p1235,p1082
p1229,p466
p1259,p465
p1223,p1099
p1260,p1098
p1222,p1086
p1237,p1097
p1147,p460
p1264,p1087
p1266,p1088
p1286,p461
p1253,p1175
p1284,p452
p1283,p1065
p1159,p1128
p1160,p473
p1162,p471
p1282,p463
p1163,p1136
p1164,p1133
p1281,p1132
p1165,p1070
p1166,p1131
p1167,p1072
p1168,p446
p1172,p1073
p1177,p1074
p1188,p1115
p1187,p469
p1185,p1127
p1269,p1125
p1271,p1124
p1184,p1123
p1265,p1121
p1272,p450
p1026,p1119
p1280,p1118
p1183,p451
p1180,p1116
p1179,p1137
p1178,p0
p1278,p1176
p999,p346
p985,p350
p1022,p349
p784,p1311
p783,p1312
p779,p348
p778,p1315
p776,p1317
p775,p354
p774,p344
p772,p1320
p771,p343
p769,p1325
p766,p1328
p765,p1329
p756,p1305
p752,p1303
p746,p424
p787,p360
p790,p1276
p791,p1277
p797,p1279
p829,p369
p828,p365
p825,p1285
p822,p1291
p821,p356
p820,p358
p819,p1295
p745,p1296
p816,p357
p814,p1299
p813,p1300
p810,p1333
p809,p334
p802,p333
p801,p315
p798,p1369
p815,p1370
p839,p1371
p743,p316
p738,p1373
p700,p1374
p699,p312
p698,p1339
p693,p1381
p691,p1382
p690,p1383
p688,p1385
p685,p308
p682,p1388
p681,p1368
p680,p1365
p676,p1364
p675,p1359
p666,p1358
p665,p1356
p702,p1355
p703,p325
p705,p326
p708,p327
p735,p328
p733,p1346
p730,p1345
p728,p1343
p727,p1342
p726,p1341
p725,p1340
p740,p1275
p724,p1274
p720,p371
p719,p1213
p717,p1201
p716,p1202
p715,p1203
p713,p1204
p710,p406
p722,p405
p1025,p1217
p843,p1228
p845,p399
p972,p1220
p970,p396
p969,p1224
p968,p1225
p967,p1226
p964,p409
p963,p1045
p962,p1198
p961,p1197
p960,p411
p951,p1194
p948,p412
p947,p413
p942,p1191
p941,p414
p975,p1189
p978,p416
p979,p1186
p980,p420
p1021,p1182
p1020,p1181
p1017,p423
p1016,p1227
p1008,p394
p1007,p1270
p1006,p378
p940,p383
p1005,p1255
p1000,p1256
p998,p381
p995,p380
p992,p379
p990,p377
p1310,p1230
p982,p1263
p1003,p376
p844,p375
p937,p374
p932,p1267
p880,p1268
p879,p1252
p878,p385
p873,p1250
p869,p1249
p868,p1248
p865,p387
p860,p388
p858,p1245
p856,p389
p855,p1243
p853,p1242
p852,p1240
p851,p1239
p846,p1236
p881,p1233
p883,p1232
p886,p1231
p889,p481
p931,p1014
p926,p1044
p925,p796
p923,p788
p918,p789
p916,p792
p915,p793
p933,p794
p914,p795
p909,p596
p908,p759
p905,p799
p899,p800
p898,p803
p895,p804
p890,p805
p911,p806
p1313,p786
p1338,p785
p1316,p782
p1776,p781
p1774,p780
p1772,p602
p1770,p605
p1767,p773
p1766,p608
p1762,p770
p1761,p610
p1759,p768
p1756,p612
p1753,p764
p1752,p763
p1750,p762
p1749,p761
p1746,p807
p1784,p808
p1785,p811
p1786,p830
p1788,p849
p1833,p848
p1832,p847
p1827,p573
p1825,p574
p1821,p575
p1820,p576
p1815,p840
p1745,p838
p1809,p836
p1805,p835
p1804,p833
p1803,p832
p1799,p831
p1795,p580
p1792,p812
p1790,p581
p1807,p827
p1743,p826
p1739,p582
p1736,p824
p1683,p823
p1678,p584
p1674,p585
p1670,p586
p1663,p818
p1661,p817
p1660,p588
p1684,p589
p1659,p590
p1655,p760
p1654,p758
p1653,p572
p1650,p696
p1647,p689
p1644,p649
p1643,p692
p1658,p647
p1834,p694
p1685,p695
p1688,p697
p1735,p757
p1733,p646
p1731,p645
p1728,p644
p1723,p704
p1721,p641
p1717,p706
p1686,p651
p1708,p652
p1705,p684
p1704,p655
p1703,p679
p1702,p678
p1701,p656
p1695,p657
p1690,p658
p1707,p674
p1641,p673
p1841,p672
p1846,p671
p1955,p670
p1954,p669
p1953,p668
p1949,p667
p1947,p707
p1946,p640
p1942,p709
p1940,p734
p1939,p755
p1937,p754
p1936,p614
p1935,p751
p1933,p749
p1931,p748
p1930,p747
p1956,p744
p1958,p741
p1959,p739
p1962,p620
p1997,p737
p1995,p736
p1993,p621
p1992,p622
p1989,p711
p1987,p732
p1986,p731
p1928,p623
p1981,p624
p1978,p629
p1976,p630
p1974,p723
p1972,p631
p1970,p721
p1969,p632
p1967,p718
p1979,p634
p1927,p714
p1926,p712
p1924,p850
p1882,p571
p1881,p482
p1880,p986
p1877,p977
p1875,p511
p1872,p981
p1870,p983
p1883,p984
p1868,p509
p1866,p987
p1865,p950
p1864,p988
p1860,p989
p1853,p508
p1848,p991
p1847,p507
p1867,p993
p1845,p976
p1884,p974
p1889,p973
p1922,p515
p1921,p971
p1919,p517
p1917,p519
p1916,p966
p1915,p965
p1913,p520
p1885,p521
p1911,p959
p1907,p525
p1905,p957
p1903,p956
p1901,p955
p1898,p954
p1895,p994
p1892,p997
p1908,p504
p1314,p1024
p1640,p484
p1634,p1041
p1426,p485
p1425,p1039
p1424,p1038
p1421,p486
p1420,p1035
p1415,p1034
p1414,p487
p1411,p1032
p1406,p489
p1404,p1029
p1403,p1027
p1399,p491
p1398,p1023
p1396,p1998
p1395,p495
p1433,p1019
p1435,p1018
p1436,p1015
p1437,p307
p1465,p1013
p1464,p1011
p1463,p1009
p1461,p499
p1457,p501
p1456,p1004
p1455,p502
p1394,p1002
p1453,p503
p1450,p952
p1449,p949
p1448,p854
p1446,p887
p1444,p877
p1443,p557
p1441,p882
p1452,p556
p1393,p884
p1392,p555
p1391,p888
p1348,p527
p1344,p891
p664,p892
p1337,p893
p1336,p894
p1335,p552
p1334,p897
p1349,p876
p1332,p875
p1327,p874
p1326,p872
p1323,p871
p1322,p870
p1321,p867
p1319,p866
p1318,p564
p1330,p864
p1468,p863
p1350,p862
p1352,p861
p1390,p565
p1387,p859
p1386,p857
p1384,p568
p1379,p551
p1378,p550
p1377,p900
p1351,p924
p1376,p528
p1372,p945
p1367,p943
p1362,p531
p1361,p939
p1360,p938
p1354,p936
p1353,p935
p1375,p934
p1635,p534
p1473,p535
p1478,p930
p1586,p928
p1581,p927
p1579,p540
p1578,p901
p1577,p921
p1574,p920
p1570,p919
p1569,p917
p1568,p542
p1566,p543
p1564,p913
p1562,p912
p1561,p910
p1559,p907
p1558,p906
p1587,p548
p1588,p549
p1589,p903
p1591,p1389
p1633,p1331
p1632,p1585
p1629,p1667
p1626,p1666
p1623,p161
p1620,p1662
p1619,p162
p1557,p163
p1614,p1874
p1606,p165
p1605,p1657
p1602,p1656
p1600,p1876
p1598,p68
p1597,p169
p1596,p1878
p1607,p1651
p1556,p1879
p1554,p1649
p1553,p1648
p1510,p173
p1509,p1646
p1508,p1645
p1505,p1642
p1503,p1639
p1502,p178
p1499,p1637
p1513,p1636
p1497,p1873
p1494,p1668
p1493,p1887
p1491,p1669
p1490,p1693
p1486,p1692
p1485,p1862
