p1764,p1857
p818,p4
p902,p1449
p454,p1087
p500,p366
p485,p229
p975,p258
p1223,p1104
p1725,p1530
p1716,p929
p1191,p186
p933,p585
p759,p20
p460,p1683
p214,p172
p1821,p925
p774,p925
p256,p472
p560,p982
p1439,p823
p26,p1496
p1559,p391
p1838,p853
p895,p632
p1663,p698
p1499,p530
p1035,p1089
p96,p986
p383,p1899
p1572,p797
p1624,p430
p310,p306
p1837,p1584
p595,p449
p165,p478
p569,p1730
p1773,p219
p1071,p1459
p1270,p1771
p159,p580
p103,p939
p1216,p1752
p1803,p1238
p1865,p1987
p143,p397
p1112,p549
p1118,p848
p666,p1582
p1167,p718
p122,p1693
p1161,p767
p107,p1517
p868,p69
p1334,p675
p555,p633
p334,p1350
p1606,p990
p353,p344
p1561,p490
p362,p773
p1549,p1169
p1629,p751
p384,p1881
p1645,p1109
p282,p1122
p410,p1585
p418,p1828
p1461,p799
p1674,p250
p1421,p79
p1375,p572
p484,p597
p1711,p640
p492,p1355
p1348,p711
p715,p708
p1735,p218
p515,p1596
p1320,p1960
p527,p1063
p537,p1057
p1755,p1222
p185,p197
p1889,p1529
p1595,p1398
p1947,p725
p815,p1528
p932,p552
p770,p49
p1929,p547
p15,p289
p758,p1097
p1024,p856
p941,p1219
p336,p1980
p546,p1937
p1659,p481
p1973,p593
p1295,p705
p784,p1557
p1946,p514
p1475,p1060
p1754,p115
p1303,p1852
p47,p1712
p1745,p712
p1322,p1850
p921,p195
p1743,p1844
p1296,p1132
p271,p665
p408,p400
p50,p510
p1791,p1048
p1252,p1786
p861,p734
p566,p386
p1778,p1813
p1490,p1076
p1478,p1862
p1264,p1809
p1769,p141
p1654,p1741
p1974,p1105
p52,p1727
p981,p209
p1482,p1326
p1064,p158
p980,p1300
p1457,p694
p1733,p1091
p1671,p166
p1676,p1830
p811,p1832
p242,p1305
p1702,p1119
p1385,p215
p808,p1149
p1401,p51
p247,p1445
p438,p1640
p455,p971
p813,p908
p1409,p969
p331,p1894
p461,p639
p958,p1473
p87,p1389
p1364,p805
p216,p1679
p1330,p432
p791,p35
p1731,p806
p501,p465
p222,p1673
p972,p1253
p1726,p265
p794,p488
p965,p1441
p495,p486
p1358,p1353
p796,p928
p1361,p833
p963,p1996
p1422,p872
p1245,p1863
p395,p278
p768,p858
p662,p1649
p120,p1340
