p1380,p1135
p1002,p1191
p623,p793
p873,p433
p887,p1661
p1018,p969
p787,p1734
p1242,p1423
p1716,p555
p1218,p1464
p1772,p346
p1204,p1240
p1761,p718
p1756,p1721
p1229,p1457
p1748,p515
p1747,p1007
p1245,p1723
p1735,p1988
p1734,p963
p1731,p935
p1752,p1596
p1195,p1099
p748,p915
p1191,p519
p613,p1001
p1865,p208
p1863,p1849
p1860,p923
p1016,p1675
p1054,p865
p1057,p1938
p1078,p882
p579,p1354
p1834,p1480
p1830,p721
p1114,p1698
p1141,p204
p1805,p573
p1172,p468
p1787,p119
p1784,p1111
p513,p385
p1247,p1466
p1713,p1228
p451,p827
p1441,p1600
p256,p941
p1619,p895
p1614,p63
p1457,p1140
p1461,p508
p1467,p1586
p1404,p1040
p1468,p582
p340,p677
p1492,p440
p1503,p1760
p1508,p39
p1527,p442
p1565,p1847
p1563,p597
p1474,p576
p1252,p1081
p1390,p502
p1368,p1768
p1277,p1533
p444,p309
p440,p1356
p1306,p1564
p1317,p1152
p1319,p1442
p1320,p806
p1384,p1515
p1324,p1312
p1677,p701
p1674,p1827
p1666,p295
p1341,p1717
p1350,p296
p1352,p245
p1364,p792
p421,p1727
p1879,p1898
p295,p434
p956,p1803
p822,p1085
p1904,p992
p61,p1456
p920,p902
p800,p1188
p916,p883
p941,p688
p660,p794
p904,p467
p777,p1567
p1919,p130
p771,p120
p1947,p780
p969,p236
p1988,p1609
p650,p1851
p624,p1662
p760,p548
p738,p1202
p879,p1614
p1925,p1298
p433,p105
p700,p867
p1344,p1289
p831,p1244
p1284,p1830
p827,p1623
p865,p1375
p446,p1132
p447,p646
p824,p1002
p1366,p1402
p399,p1566
p1279,p1654
p823,p644
p1370,p1445
p868,p484
p1362,p1855
p699,p1278
p1339,p1292
p688,p1283
p691,p340
p861,p1637
p1308,p1872
p864,p643
p693,p682
p1328,p1711
p1302,p1112
p423,p615
p1329,p492
p859,p1498
p1373,p1921
p697,p1097
p1301,p817
p839,p1093
p1330,p1071
p1333,p1611
p1334,p1885
p1340,p1985
p998,p1860
p1382,p1434
p388,p945
p1469,p790
p772,p1994
p1476,p460
p1480,p1500
p1493,p200
p1497,p1107
p1501,p1465
p764,p1102
p321,p1393
p729,p984
p1509,p1109
p1521,p1984
p1522,p1305
p1529,p1839
p739,p684
p744,p1282
p1530,p1788
p1538,p1427
p300,p470
p1547,p1225
p1512,p1759
p727,p581
p1465,p1642
p1462,p982
p1381,p1689
p684,p681
p818,p1523
p1387,p1903
p805,p1049
p1393,p1624
p377,p486
p749,p810
p1417,p556
p1428,p400
p1429,p1497
p1432,p490
p1434,p661
p784,p1551
p1443,p498
p721,p1468
p782,p1741
p1454,p1815
p1456,p1811
p724,p1583
p780,p934
p1375,p1054
p1272,p1986
p1258,p1785
p1267,p1882
p961,p324
p1092,p1987
p1093,p1108
p1095,p1471
p1100,p1477
p1103,p1084
p1108,p1153
p567,p1197
p1111,p1891
p962,p9
p955,p1651
p1125,p1888
p556,p690
p1133,p1414
p1137,p1053
p946,p866
p1143,p1546
p1144,p526
p1155,p791
p1158,p474
p1120,p1823
p1086,p1492
p1079,p1664
p639,p1939
p1001,p1619
p1007,p1478
p625,p540
p992,p1281
p990,p942
p1012,p657
p611,p1656
p989,p1875
p1015,p1749
p631,p1321
p971,p1895
p1022,p723
p1027,p1506
p1030,p1639
p597,p990
p1045,p1859
p1048,p1620
p1049,p1131
p1053,p554
p968,p837
p1062,p1647
p1166,p512
p875,p1144
p1171,p133
p527,p1920
p1223,p1635
p1226,p447
p1239,p1922
p1241,p922
p668,p399
p1243,p1907
p889,p174
p888,p1103
p1246,p1722
p900,p1926
p675,p1137
p677,p691
p1256,p999
p1257,p1537
p1998,p282
p1263,p1453
p459,p1162
p679,p1205
p1264,p863
p1266,p1792
p1250,p845
p903,p278
p490,p1519
p1220,p645
p1176,p1910
p1181,p1072
p1187,p816
p519,p824
p518,p1955
p296,p1285
p934,p1328
p1193,p500
p930,p1853
p1196,p753
p508,p1563
p505,p956
p502,p751
p1205,p1622
p1207,p1332
p914,p1961
p1208,p1835
p497,p528
p1211,p1813
p912,p125
