p580,p1949
p469,p73
p183,p794
p1806,p776
p554,p341
p161,p1009
p162,p916
p1355,p1299
p550,p1378
p167,p1773
p1681,p133
p323,p45
p1677,p115
p547,p752
p173,p892
p322,p452
p1674,p1587
p177,p260
p179,p1856
p544,p273
p893,p910
p1366,p1992
p186,p1549
p1094,p1486
p1089,p185
p452,p412
p193,p1918
p194,p854
p174,p163
p555,p1563
p1227,p1619
p195,p466
p123,p1053
p430,p554
p341,p381
p828,p1668
p340,p77
p132,p1932
p835,p611
p1740,p618
p1739,p468
p1127,p923
p569,p1320
p1481,p1957
p873,p1813
p1732,p1198
p851,p89
p143,p316
p853,p1618
p1720,p1577
p1345,p685
p1717,p213
p860,p915
p1709,p57
p330,p731
p439,p54
p1700,p1269
p1699,p372
p1332,p1244
p1698,p83
p197,p1146
p532,p258
p508,p661
p293,p839
p1050,p1003
p958,p811
p1538,p931
p245,p1185
p1536,p1602
p1447,p249
p500,p1184
p499,p326
p968,p619
p970,p1326
p1559,p636
p253,p876
p1515,p1138
p1034,p48
p475,p334
p489,p221
p1462,p1266
p1464,p720
p1007,p1028
p1010,p1784
p1488,p1428
p1487,p1635
p271,p1760
p272,p1589
p973,p595
p1222,p1639
p1560,p908
p509,p536
p1631,p483
p1629,p1259
p1082,p1386
p529,p1869
p921,p1148
p207,p1445
p307,p1677
p1609,p1481
p460,p1964
p520,p1913
p1602,p1612
p1597,p1339
p235,p1830
p1406,p1126
p220,p1209
p937,p674
p1412,p566
p1575,p1659
p225,p546
p1574,p1828
p463,p658
p1572,p491
p1422,p1560
p1058,p1793
p1566,p177
p948,p36
p1584,p1175
p1766,p101
p1126,p99
p811,p1397
p381,p867
p1242,p193
p1924,p1643
p1201,p1649
p1921,p956
p1920,p1738
p686,p999
p688,p1376
p689,p1306
p1914,p531
p48,p1224
p1910,p1461
p406,p127
p1199,p1881
p1897,p512
p812,p1210
p1269,p1082
p1272,p1621
p62,p1160
p63,p1290
p1879,p1581
p1275,p1001
p1876,p866
p1280,p1955
p726,p396
p678,p918
p33,p1682
p1937,p1021
p677,p1696
p1997,p730
p396,p361
p1989,p1896
p4,p1725
p1988,p1112
p654,p417
p1983,p393
p388,p1540
p1980,p1630
p387,p378
p399,p264
p14,p746
p1282,p485
p1975,p21
p648,p1315
p671,p1532
p1964,p1983
p20,p1323
p21,p1892
p1957,p1609
p1953,p383
p384,p477
p1943,p206
p675,p345
p1940,p1037
p676,p1085
p1969,p104
p1866,p1733
p480,p464
p757,p1722
p112,p1765
p1844,p344
p609,p140
p793,p1104
p738,p1790
p1791,p881
p742,p327
p605,p427
p798,p1623
p1795,p473
p1291,p659
p1155,p1632
p755,p1650
p763,p1207
p1299,p1676
p1811,p94
p1810,p1694
p595,p500
p1290,p747
p83,p1613
p769,p902
p584,p22
p77,p1059
p807,p1279
p1853,p365
p1773,p860
p80,p179
p428,p1952
p808,p1172
p1847,p388
p1850,p272
p75,p564
p417,p1005
p613,p1879
p359,p223
p1140,p1686
p1214,p1351
p1044,p1770
p1021,p905
p1154,p1011
p1018,p592
p1210,p109
p1123,p1219
p1220,p297
p1152,p702
p1022,p1706
p1138,p832
p1143,p1078
p1040,p815
p1056,p798
p1036,p1414
p1136,p1415
p1030,p401
p1028,p1709
p1025,p1177
p1218,p642
p1153,p555
p1133,p498
p1108,p363
p1118,p1642
p1193,p314
p1080,p1388
p1191,p539
p1188,p903
p1083,p1049
p1186,p1970
p1183,p390
p1109,p656
p1172,p195
p1085,p1190
p1099,p1737
p1102,p1462
p1178,p1866
p1104,p1025
p1107,p131
p1076,p1072
p1122,p1836
p1198,p1492
p1075,p40
p1160,p1287
p1162,p80
p1208,p1389
p1059,p161
p1177,p818
p1165,p1355
p1204,p1102
p1064,p664
p1115,p1972
p1166,p629
p1200,p1176
p1065,p1488
p1112,p1328
p1068,p395
p1072,p1434
p1111,p1744
p1184,p1779
p0,p1046
p1013,p938
p728,p1437
p729,p1189
p730,p110
p731,p1700
p732,p943
p744,p1855
p746,p983
p748,p517
p753,p1890
p765,p967
p767,p308
p771,p1743
p779,p229
p789,p831
p790,p1460
p791,p1526
p797,p718
p810,p579
p816,p1529
p820,p601
p821,p1106
p827,p1838
p830,p1301
p832,p23
p833,p668
p723,p1727
p839,p888
p721,p1334
p719,p469
p663,p1278
p664,p121
p665,p1634
p667,p1786
p668,p1912
p670,p1296
p672,p31
p673,p440
p674,p1655
p679,p1584
p682,p270
p683,p1238
p684,p1633
p685,p904
p692,p309
p696,p782
p697,p1625
p699,p1105
p701,p453
p702,p635
p703,p1818
p709,p976
p710,p300
p715,p376
p718,p1130
p720,p1999
p844,p804
p846,p1535
p848,p954
p931,p1127
p933,p1449
p934,p1039
p938,p1382
p939,p1906
p940,p1870
p943,p1809
p944,p1923
p947,p1199
p951,p244
p955,p978
p957,p553
p963,p524
p964,p200
p965,p32
p974,p1097
p984,p1848
p985,p1324
p986,p481
p987,p843
p993,p1771
p997,p459
p1001,p1206
p1005,p901
p1011,p1239
p930,p84
p926,p456
p924,p1805
p923,p1726
p854,p1718
p855,p959
p856,p924
p861,p992
p865,p1466
p867,p1227
p875,p1422
p882,p1212
p884,p632
p885,p25
p887,p1876
p889,p513
p1016,p1741
p890,p446
p894,p320
p900,p576
p902,p234
p903,p1626
p907,p556
p908,p1578
p909,p90
p912,p1783
p915,p167
p918,p1654
p920,p502
p922,p1644
p891,p1899
p913,p442
p1350,p192
p1228,p1436
p1719,p769
p1721,p253
p1722,p1122
p1724,p521
p1727,p1304
p1728,p1309
p1731,p409
p1734,p312
p1737,p128
p1738,p1170
p1741,p428
p1743,p1123
p1744,p970
p1745,p1546
p1747,p1591
p1750,p1503
p1753,p194
p1762,p1401
p1764,p1292
p1765,p1781
p1767,p1628
p1768,p810
p1772,p1369
p1775,p1250
p1777,p1690
p1778,p97
p1782,p706
p1784,p649
p1787,p841
p1711,p593
p1794,p146
p1706,p1338
p1696,p1458
p1623,p1769
p1625,p224
p1628,p79
p1630,p941
p1632,p1753
p1633,p909
p1634,p1092
p1635,p1920
p1639,p169
p1640,p339
p1641,p864
p1645,p1611
p1646,p1537
p1647,p1147
p1651,p823
p1655,p1298
p1659,p665
p1671,p1076
p1675,p1917
p1676,p126
p1678,p438
p1679,p822
p1683,p1684
p1684,p1699
p1686,p603
p1687,p1678
p1688,p750
p1690,p227
p1694,p1070
p1705,p1573
p1622,p1413
p1796,p278
p1800,p1456
p1899,p1638
p1901,p1550
p1903,p939
p1907,p1565
p1915,p608
p1916,p929
p1918,p1242
p1919,p362
p1922,p1405
p1923,p511
p1925,p210
p1926,p1152
p1930,p467
p1932,p1284
p1938,p528
p1939,p1672
p1942,p1766
p1949,p989
p1952,p1691
p1958,p1163
p1965,p1077
p1966,p1752
p1977,p1331
p1978,p385
p1981,p1095
p1982,p1801
p1984,p1507
p1987,p1370
p1992,p913
p1898,p338
p1799,p39
p1895,p71
p1888,p1402
p1801,p1986
p1803,p1730
p1805,p856
p1808,p11
p1813,p955
p1814,p19
p1815,p1868
p1818,p1221
p1827,p719
p1835,p1310
p1836,p216
p1837,p1667
p1838,p42
p1839,p1712
p1840,p60
p1842,p1501
p1852,p1067
p1855,p626
p1858,p627
p1859,p1851
p1862,p367
p1869,p1717
p1870,p1479
p1871,p1451
p1873,p142
p1878,p1662
p1880,p1595
p1881,p964
p1882,p1180
p1890,p148
p1224,p180
p1621,p848
p1618,p865
p1319,p638
p1320,p86
p1321,p1412
p1322,p1469
p1323,p609
p1324,p575
p1326,p537
p1333,p219
p1338,p17
p1340,p883
p1349,p1373
p661,p625
p1352,p799
p1359,p614
p1362,p828
p1363,p1103
p1364,p583
p1365,p552
p1367,p171
p1370,p20
p1373,p1510
p1375,p1465
p1376,p399
p1378,p1022
p1380,p714
p1382,p1685
p1383,p1066
p1386,p756
p1390,p1945
p1314,p686
p1395,p1711
p1312,p1179
p1308,p1171
p1229,p274
p1230,p1169
p1231,p331
p1232,p1914
p1237,p1023
p1240,p587
p1241,p413
p1249,p1553
p1251,p164
p1252,p784
p1253,p1871
p1256,p698
p1259,p1865
p1260,p1285
p1262,p1346
p1265,p1314
p1266,p1459
p1267,p1150
p1270,p1360
p1279,p1027
p1284,p775
p1285,p849
p1287,p1319
p1288,p1098
p1292,p1094
p1293,p1562
p1296,p870
p1301,p288
p1304,p723
p1309,p217
p1619,p430
p1397,p307
p1405,p1391
p1516,p507
p1527,p371
p1529,p574
p1530,p461
p1531,p861
p1532,p1101
p1533,p1807
p1537,p669
p1547,p1467
p1548,p643
p1549,p1789
p1550,p1530
p1551,p648
p1557,p0
p1562,p93
p1565,p1841
p1567,p1125
p1569,p1715
p1570,p586
p1573,p589
p1577,p43
p1580,p1615
p1581,p974
p1591,p515
p1605,p280
p1606,p1681
p1607,p761
p1612,p1056
p1613,p1606
p1513,p1233
p1401,p912
p1510,p317
p1507,p985
p1408,p1151
p1418,p613
p1419,p398
p1428,p172
p1433,p1406
p1436,p1249
p1438,p639
p1446,p1695
p1448,p4
p1449,p415
p1451,p1253
p1453,p1646
p1458,p677
p1460,p1149
p1466,p692
p1470,p153
p1474,p479
p1477,p220
p1479,p1908
p1483,p448
p1486,p1960
p1491,p1788
p1492,p118
p1493,p106
p1497,p443
p1498,p1829
p1501,p653
p1504,p418
p1505,p342
p1509,p1948
p660,p1617
p999,p859
p382,p1311
p299,p1776
p558,p805
p133,p1174
p135,p14
p137,p1020
p296,p801
p441,p652
p138,p170
p556,p891
p140,p1926
p295,p1808
p144,p419
p146,p824
p551,p914
p559,p1925
p148,p1746
p149,p1931
p294,p117
p546,p85
p545,p573
p543,p1108
p447,p562
p448,p1782
p540,p1333
p289,p523
p288,p1554
p154,p151
p155,p256
p537,p1111
p285,p1470
p446,p1016
p127,p1410
p126,p1165
p301,p1153
p93,p1195
p324,p505
p94,p979
p97,p813
p321,p1637
p586,p1100
p585,p1748
p583,p1674
p317,p1698
p316,p187
p103,p1791
p579,p392
p107,p906
p578,p1723
p577,p529
p312,p1064
p109,p693
p563,p1534
p565,p426
p566,p1047
p435,p1392
p567,p605
p303,p953
p159,p1735
p121,p1988
p115,p1572
p114,p925
p574,p604
p309,p261
p110,p1997
p429,p1485
p304,p1116
p423,p1222
p534,p1519
p531,p945
p204,p324
p205,p1679
p206,p808
p208,p1648
p209,p559
p262,p1853
p261,p1658
p260,p445
p210,p1251
p211,p1500
p212,p1653
p259,p1394
p494,p457
p492,p1778
p498,p1341
p491,p1953
p254,p1294
p471,p797
p250,p690
p223,p1714
p472,p1522
p228,p543
p473,p796
p485,p598
p246,p701
p232,p1396
p244,p1107
p482,p1316
p237,p944
p479,p696
p470,p6
p201,p65
p466,p246
p502,p1156
p163,p560
p164,p228
p165,p1521
p284,p1885
p283,p189
p526,p749
p453,p1757
p172,p1188
p282,p1157
p457,p8
p278,p1854
p276,p607
p275,p310
p180,p1817
p517,p1010
p516,p1704
p515,p1136
p465,p1909
p196,p1605
p464,p1091
p264,p846
p505,p875
p187,p208
p533,p27
p185,p436
p383,p1767
p511,p705
p459,p851
p512,p1145
p181,p7
p274,p463
p507,p1048
p587,p67
p118,p51
p614,p1527
p27,p1439
p28,p1624
p624,p482
p31,p478
p32,p844
p365,p997
p401,p447
p620,p1254
p39,p1597
p44,p1673
p616,p1922
p611,p1900
p352,p218
p350,p1350
p53,p9
p54,p1218
p56,p1508
p607,p1994
p57,p405
p346,p328
p58,p1687
p61,p1041
p411,p1131
p602,p1941
p66,p233
p343,p837
p413,p1215
p366,p1272
p625,p1491
p626,p744
p26,p1166
p657,p1202
p656,p197
p655,p1804
p653,p402
p652,p508
p385,p1231
p2,p597
p649,p748
p3,p1483
p5,p1831
