p999,p623
p1335,p1205
p1334,p1199
p1333,p1831
p1332,p1125
p1331,p769
p1330,p392
p1329,p748
p1328,p466
p1327,p1796
p1326,p92
p1325,p1715
p1324,p615
p1322,p1902
p1321,p204
p1320,p722
p1319,p1150
p1318,p1505
p1317,p117
p1316,p1036
p1315,p1679
p1314,p1341
p1313,p1488
p1311,p1862
p1310,p187
p1309,p1471
p1336,p361
p1337,p808
p1338,p1476
p1339,p1883
p1368,p1389
p1367,p1085
p1366,p1853
p1365,p250
p1364,p836
p1363,p259
p1362,p1356
p1361,p1392
p1360,p617
p1359,p1489
p1357,p517
p1356,p1113
p1307,p1369
p1355,p556
p1353,p372
p1352,p160
p1351,p704
p1350,p99
p1349,p197
p1348,p622
p1347,p1364
p1346,p1028
p1345,p766
p1343,p90
p1341,p1407
p1340,p1098
p1354,p658
p1306,p534
p1305,p1784
p1304,p872
p1272,p902
p1270,p911
p1269,p1740
p1268,p834
p1267,p1836
p1266,p580
p1265,p289
p1264,p500
p1263,p1641
p1262,p816
p1261,p1101
p1260,p708
p1273,p1719
p1259,p85
p1257,p255
p1256,p1899
p1255,p302
p1254,p851
p1253,p1568
p1252,p429
p1251,p17
p1250,p246
p1249,p1574
p1248,p554
p1247,p1270
p1246,p503
p1258,p304
p1369,p961
p1274,p655
p1276,p208
p1303,p443
p1302,p174
p1301,p1592
p1300,p1380
p1298,p16
p1297,p728
p1296,p1018
p1295,p1794
p1294,p1026
p1293,p351
p1292,p1159
p1291,p611
p1275,p1548
p1290,p963
p1288,p1124
p1287,p1108
p1286,p168
p1285,p1118
p1284,p1654
p1283,p47
p1282,p1608
p1281,p1055
p1280,p1643
p1279,p1977
p1278,p1567
p1277,p418
p1289,p1049
p1245,p1570
p1370,p271
p1372,p1907
p1465,p540
p1464,p1803
p1463,p738
p1462,p207
p1461,p541
p1460,p277
p1459,p1970
p1458,p1816
p1457,p948
p1456,p1137
p1455,p1960
p1454,p1496
p1453,p1671
p1451,p832
p1450,p1765
p1449,p1281
p1448,p1540
p1447,p281
p1446,p1241
p1445,p954
p1444,p1964
p1441,p992
p1440,p1197
p1439,p1947
p1438,p1550
p1466,p877
p1467,p1653
p1468,p1520
p1469,p1973
p1497,p287
p1496,p292
p1495,p178
p1494,p1847
p1493,p644
p1492,p1054
p1491,p164
p1490,p1151
p1489,p1498
p1488,p59
p1487,p585
p1486,p1237
p1437,p1012
p1485,p1305
p1483,p476
p1482,p1121
p1481,p1966
p1480,p192
p1479,p1090
p1478,p1537
p1476,p972
p1475,p697
p1474,p1063
p1473,p955
p1471,p1849
p1470,p28
p1484,p387
p1436,p643
p1435,p82
p1434,p991
p1401,p1129
p1400,p151
p1398,p990
p1397,p1848
p1396,p787
p1395,p1650
p1394,p430
p1393,p1100
p1391,p675
p1390,p1008
p1389,p586
p1388,p1001
p1402,p1287
p1387,p1264
p1385,p1962
p1384,p315
p1383,p1898
p1382,p824
p1381,p1809
p1380,p37
p1379,p240
p1378,p95
p1376,p1393
p1375,p421
p1374,p1220
p1373,p868
p1386,p297
p1371,p1155
p1403,p173
p1405,p568
p1433,p1221
p1432,p843
p1431,p427
p1430,p1481
p1429,p1699
p1428,p296
p1427,p850
p1426,p331
p1425,p701
p1424,p21
p1423,p1088
p1422,p763
p1404,p952
p1421,p828
p1419,p1757
p1418,p1558
p1416,p1998
p1415,p346
p1414,p826
p1413,p621
p1411,p180
p1410,p1586
p1409,p536
p1408,p806
p1407,p1314
p1406,p1042
p1420,p1681
p1244,p258
p1243,p1174
p1241,p800
p1062,p412
p1061,p1060
p1060,p985
p1059,p1909
p1058,p1585
p1057,p803
p1056,p248
p1055,p1449
p1054,p1385
p1053,p231
p1052,p897
p1051,p1076
p1050,p1827
p1049,p1122
p1048,p1168
p1047,p1217
p1046,p1128
p1045,p685
p1043,p307
p1042,p216
p1039,p57
p1037,p1976
p1036,p453
p1034,p1573
p1032,p1386
p1064,p1499
p1065,p487
p1066,p1007
p1067,p1228
p1099,p326
p1098,p1951
p1095,p128
p1094,p1658
p1093,p1114
p1092,p1864
p1090,p148
p1089,p381
p1088,p27
p1087,p1997
p1085,p377
p1084,p1061
p1031,p141
p1083,p1322
p1081,p1839
p1080,p1756
p1079,p1003
p1078,p691
p1076,p1408
p1074,p1737
p1073,p1900
p1072,p1891
p1071,p754
p1070,p1758
p1069,p616
p1068,p1688
p1082,p839
p1029,p357
p1027,p1879
p1026,p1530
p988,p909
p987,p1845
p986,p1424
p985,p201
p984,p749
p982,p1780
p981,p923
p980,p1435
p979,p439
p978,p285
p976,p1674
p975,p599
p989,p1161
p974,p1158
p972,p1338
p971,p997
p970,p981
p969,p905
p968,p896
p967,p1562
p965,p804
p964,p1624
p963,p910
p960,p573
p958,p266
p956,p1651
p973,p901
p1100,p620
p990,p660
p992,p1881
p1025,p1116
p1024,p608
p1023,p237
p1022,p442
p1021,p110
p1020,p1131
p1019,p1965
p1018,p1590
p1017,p71
p1016,p42
p1014,p1912
p1013,p274
p991,p150
p1010,p759
p1007,p1742
p1006,p264
p1005,p687
p1003,p717
p1001,p1468
p1000,p1873
p1998,p1428
p998,p263
p997,p511
p996,p1925
p995,p799
p994,p1375
p1008,p1512
p1102,p327
p1103,p310
p1105,p122
p1204,p218
p1203,p105
p1202,p25
p1201,p1832
p1200,p362
p1199,p765
p1197,p194
p1196,p343
p1195,p1213
p1194,p1915
p1193,p776
p1192,p1583
p1205,p1603
p1191,p324
p1188,p526
p1187,p1065
p1185,p494
p1184,p114
p1183,p1963
p1182,p1866
p1181,p1333
p1180,p66
p1178,p1826
p1177,p1726
p1173,p1175
p1172,p1975
p1190,p618
p1171,p1769
p1206,p340
p1208,p451
p1239,p1371
p1238,p1980
p1237,p951
p1236,p838
p1235,p1542
p1234,p199
p1232,p505
p1231,p650
p1230,p472
p1229,p1037
p1228,p358
p1227,p1554
p1207,p72
p1225,p1569
p1223,p1372
p1222,p772
p1221,p1181
p1220,p460
p1219,p347
p1216,p653
p1215,p1596
p1214,p1892
p1213,p627
p1211,p1273
p1210,p774
p1209,p1456
p1224,p1601
p1498,p1359
p1170,p1716
p1168,p1017
p1136,p533
p1135,p720
p1133,p715
p1132,p1930
p1131,p1893
p1130,p1609
p1129,p1269
p1128,p798
p1127,p251
p1126,p333
p1125,p571
p1123,p1526
p1137,p1209
p1122,p1611
p1119,p322
p1118,p94
p1116,p1713
p1115,p376
p1114,p668
p1113,p920
p1112,p1230
p1111,p1662
p1110,p577
p1109,p614
p1108,p1923
p1106,p509
p1121,p409
p1169,p410
p1138,p625
p1140,p239
p1167,p1130
p1166,p1989
p1165,p1664
p1164,p1934
p1163,p582
p1162,p1198
p1161,p1670
p1160,p1035
p1159,p314
p1158,p835
p1157,p1501
p1156,p1652
p1139,p1872
p1155,p496
p1153,p419
p1152,p1031
p1151,p1447
p1150,p138
p1149,p884
p1147,p390
p1146,p1613
p1145,p1373
