p999,p144
p1342,p1690
p1341,p281
p1340,p165
p1339,p524
p1338,p1892
p1337,p1478
p1336,p283
p1335,p751
p1334,p1989
p1333,p1621
p1332,p304
p1331,p328
p1330,p1881
p1329,p1830
p1328,p193
p1327,p1711
p1326,p474
p1325,p359
p1324,p575
p1323,p1809
p1322,p464
p1321,p1149
p1320,p154
p1319,p1208
p1318,p1815
p1343,p172
p1344,p1175
p1345,p143
p1346,p1716
p1373,p780
p1372,p912
p1371,p472
p1370,p126
p1369,p1061
p1368,p1201
p1367,p669
p1366,p1888
p1365,p1748
p1363,p1895
p1362,p875
p1361,p1854
p1317,p894
p1360,p1090
p1358,p65
p1357,p1469
p1356,p1937
p1355,p586
p1354,p970
p1353,p989
p1352,p1759
p1351,p1276
p1350,p511
p1349,p1112
p1348,p948
p1347,p1280
p1359,p408
p1374,p1224
p1316,p1805
p1314,p1127
p1278,p1762
p1277,p1728
p1276,p1908
p1275,p1596
p1274,p1239
p1273,p1580
p1272,p1953
p1271,p938
p1270,p1865
p1269,p1860
p1268,p480
p1267,p1108
p1265,p78
p1263,p378
p1262,p286
p1261,p69
p1259,p1327
p1258,p490
p1257,p1088
p1256,p86
p1254,p1932
p1253,p1409
p1251,p1494
p1250,p1626
p1249,p900
p1279,p337
p1280,p1120
p1281,p1424
p1283,p76
p1313,p327
p1312,p696
p1311,p1848
p1310,p528
p1309,p1014
p1308,p602
p1307,p656
p1306,p1382
p1305,p489
p1304,p546
p1303,p1480
p1302,p1782
p1315,p1383
p1301,p1610
p1298,p553
p1297,p1251
p1296,p831
p1295,p959
p1294,p1091
p1293,p1042
p1292,p1302
p1291,p1150
p1289,p476
p1288,p1147
p1286,p105
p1285,p1467
p1299,p95
p1375,p1487
p1376,p828
p1377,p986
p1464,p793
p1463,p539
p1462,p1583
p1461,p1832
p1459,p343
p1458,p1862
p1457,p1202
p1456,p98
p1455,p477
p1454,p1008
p1453,p1627
p1452,p1951
p1451,p1423
p1450,p512
p1449,p441
p1448,p710
p1447,p731
p1446,p184
p1445,p1125
p1444,p217
p1443,p382
p1442,p1197
p1441,p759
p1440,p1968
p1439,p1943
p1465,p1550
p1466,p146
p1467,p1812
p1468,p278
p1495,p1471
p1494,p1297
p1493,p1755
p1492,p1993
p1491,p1458
p1490,p1103
p1489,p438
p1487,p1204
p1486,p1219
p1485,p857
p1484,p1806
p1483,p902
p1438,p504
p1482,p611
p1480,p1519
p1479,p960
p1478,p1351
p1477,p629
p1476,p743
p1475,p1611
p1474,p540
p1473,p334
p1472,p571
p1471,p1154
p1470,p1599
p1469,p109
p1481,p421
p1437,p934
p1436,p354
p1435,p1512
p1403,p1364
p1402,p858
p1401,p1568
p1400,p745
p1399,p1671
p1398,p693
p1397,p1427
p1396,p1096
p1395,p935
p1394,p605
p1393,p1960
p1392,p873
p1404,p1944
p1391,p1737
p1389,p284
p1388,p1836
p1387,p1209
p1386,p1053
p1385,p273
p1384,p808
p1383,p1745
p1382,p868
p1381,p725
p1380,p918
p1379,p1933
p1378,p195
p1390,p1640
p1248,p221
p1405,p1886
p1408,p1223
p1434,p905
p1433,p1414
p1432,p718
p1431,p642
p1430,p612
p1429,p1004
p1428,p196
p1427,p1070
p1426,p1442
p1425,p652
p1424,p1249
