p1651,p1480
p1815,p1704
p1331,p1348
p952,p1998
p1289,p1684
p1576,p1767
p978,p1254
p1698,p781
p1757,p1231
p1911,p855
p1142,p1726
p1378,p1424
p573,p1878
p1622,p99
p1722,p1892
p588,p673
p794,p1027
p1567,p1729
p1927,p374
p506,p1658
p161,p995
p1504,p1980
p1498,p1209
p1037,p1053
p1833,p729
p1421,p1434
p1007,p1374
p1008,p1365
p1013,p1117
p761,p1508
p1418,p1170
p1915,p1106
p1729,p246
p620,p573
p1921,p1982
p1414,p1817
p1006,p1645
p1557,p1971
p852,p1760
p575,p1303
p873,p949
p1395,p1269
p829,p165
p1402,p1089
p564,p1667
p1767,p1852
p1538,p1626
p890,p82
p1404,p258
p905,p1497
p1875,p418
p1803,p1934
p244,p493
p1879,p1932
p812,p777
p808,p389
p936,p1747
p1353,p273
p946,p1524
p1849,p1730
p593,p1941
p1511,p1184
p530,p1124
p966,p1781
p969,p1413
p924,p865
p621,p1478
p1424,p137
p434,p300
p1185,p1308
p1442,p681
p676,p1220
p1646,p878
p1706,p1479
p1143,p1950
p1257,p844
p1211,p760
p391,p934
p1154,p1287
p1496,p1772
p1210,p775
p1208,p256
p1174,p1646
p1176,p1876
p660,p1391
p1265,p1425
p1184,p1768
p1978,p516
p653,p1807
p356,p1242
p1639,p1563
p1633,p265
p1932,p648
p1245,p1993
p344,p974
p1241,p1624
p1720,p1043
p1240,p1904
p1088,p1687
p1438,p1547
p1231,p1498
p1801,p936
p735,p1513
p349,p787
p1102,p992
p1628,p1923
p1630,p624
p648,p1297
p1488,p1710
p1951,p1549
p1297,p644
p1266,p1821
p681,p1516
p671,p943
p673,p1010
p1478,p170
p1518,p1792
p656,p366
p1481,p1983
p634,p867
p1492,p1925
p1491,p825
p642,p1961
p643,p1690
p619,p1352
p618,p629
p617,p75
p1516,p1406
p650,p1641
p1506,p1977
p1508,p765
p1509,p853
p1484,p1655
p1510,p343
p659,p553
p1515,p1525
p661,p1147
p1486,p813
p1524,p1253
p999,p1044
p1527,p1836
p453,p456
p441,p1429
p433,p1051
p1620,p314
p1621,p594
p426,p1532
p1626,p701
p422,p682
p1627,p506
p414,p560
p413,p1176
p1637,p541
p1638,p1248
p454,p554
p1640,p529
p1644,p579
p1653,p1097
p1654,p1235
p1656,p219
p1658,p804
p1659,p864
p1663,p1428
p1664,p1974
p1667,p249
p1671,p1887
p364,p923
p354,p1952
p346,p1823
p1643,p1035
p1601,p1065
p462,p515
p1592,p1551
p570,p1578
p568,p435
p566,p1787
p565,p375
p1534,p1924
p1539,p1761
p1540,p1314
p551,p1207
p1543,p1386
p1544,p1407
p545,p524
p1545,p1552
p541,p1453
p1549,p442
p1551,p1937
p1552,p1598
p524,p1874
p1558,p1324
p1561,p634
p1562,p638
p502,p818
p1573,p1490
p1574,p1219
p495,p1903
p493,p203
p490,p1107
p1578,p961
p1580,p829
p486,p1544
p579,p1575
p682,p1270
p1420,p1377
p691,p1560
p1086,p1692
p1082,p921
p1077,p1401
p1071,p1503
p1311,p1194
p1056,p1566
p1053,p1418
p1314,p416
p1044,p996
p1043,p1520
p1040,p424
p1034,p1052
p1033,p1883
p1027,p1049
p1302,p1795
p1320,p647
p1325,p1020
p1019,p186
p1326,p1158
p1011,p1509
p1998,p951
p997,p770
p996,p1345
p995,p856
p992,p979
p989,p434
p988,p1995
p982,p1369
p981,p704
p977,p1181
p1322,p332
p975,p1527
p1301,p754
p1103,p619
p1242,p1713
p1239,p1835
p1236,p761
p1251,p725
p1227,p980
p1226,p1402
p1224,p739
p1207,p1511
p1197,p499
p1190,p1300
p1183,p1095
p1181,p1339
p1179,p1173
p1172,p834
p1298,p1834
p1168,p1674
p1276,p1793
p1151,p1385
p1138,p1699
p1130,p1556
p1287,p479
p1127,p1437
p1125,p1310
p1123,p359
p1122,p977
p1120,p1045
p1290,p1600
p1111,p1471
p1107,p480
p1106,p114
p1157,p1381
p1470,p716
p1337,p77
p1342,p1387
p1411,p1296
p791,p1278
p1412,p1864
p784,p1078
p1416,p1519
p775,p1543
p1684,p1467
p1431,p1706
p1434,p1863
p743,p583
p1435,p1398
p741,p1938
p1437,p1321
p734,p1966
p795,p1640
p732,p1396
p1441,p1239
p725,p778
p721,p588
p1444,p1150
p719,p1784
p1446,p1197
p714,p1246
p1448,p1901
p1450,p1245
p1451,p1378
p707,p1464
p704,p1327
p1456,p1015
p697,p990
p729,p999
p965,p1688
p798,p892
p804,p962
p1344,p1465
p1345,p768
p949,p1968
p948,p1657
p931,p1443
p1355,p1153
p1357,p1191
p1367,p333
p907,p1280
p900,p433
p1375,p1312
p889,p1156
p888,p981
p1377,p1061
p803,p1435
p879,p890
p874,p1330
p1381,p1572
p869,p1921
p867,p599
p864,p1906
p1384,p1333
p859,p797
p843,p125
p820,p1505
p817,p1007
p813,p902
p1406,p1084
p806,p582
p1407,p1929
p875,p637
p1687,p1756
p624,p378
p1738,p1047
p219,p1243
p1715,p1593
p1942,p351
p1786,p1046
p1712,p695
p1838,p915
p1983,p1678
p1839,p1679
p1920,p976
p1941,p372
p1761,p1727
p1985,p1946
p1876,p1415
p1841,p1347
p1970,p1272
p1725,p756
p1960,p1683
p1844,p1121
p1969,p642
p1764,p929
p1710,p1164
p1817,p585
p1836,p1880
p1758,p697
p1825,p1223
p1727,p922
p1980,p270
p1858,p221
p269,p1813
p1977,p947
p1824,p814
p1750,p282
p1873,p794
p1900,p1433
p296,p254
p297,p1205
p1886,p893
p1819,p1502
p1834,p1849
p1755,p385
p1818,p1271
p1790,p177
p1756,p1770
p1835,p1329
p1805,p609
p1845,p1541
p1934,p1481
p1726,p1959
p1952,p362
p1874,p968
p1907,p257
p1696,p1105
p1769,p313
p1770,p1665
p1704,p1955
p1739,p889
p1737,p357
p1781,p1749
p1882,p1376
p1993,p199
p1694,p773
p1867,p1517
p1771,p1256
p1693,p1591
p1780,p222
p1946,p731
p1947,p1075
p1740,p933
p1881,p786
p1699,p467
p1864,p717
p224,p1711
p1784,p1060
p1987,p1644
p1988,p690
p1955,p322
p1783,p820
p1702,p1008
p1733,p1445
p1943,p802
p1776,p836
p1812,p1463
p1990,p894
p1806,p414
p1690,p1853
p1909,p1340
p1892,p1355
p1730,p1298
p1856,p408
p1457,p1041
p1078,p723
p1473,p380
p1305,p607
p1458,p1650
p678,p1138
p1896,p472
p1382,p983
p1075,p1723
p684,p817
p203,p244
p1469,p296
p868,p1371
p1067,p1570
p1861,p1949
p1383,p841
p1069,p1076
p1070,p470
p1466,p1422
p690,p1241
p1307,p848
p1462,p899
p1076,p507
p1465,p1580
p113,p1594
p1080,p1915
p1094,p1840
p1299,p1382
p641,p1024
p640,p1031
p133,p1109
p635,p1786
p1099,p1141
p1493,p931
p630,p1273
p644,p401
p1945,p755
p626,p514
p1497,p580
p1247,p1009
p623,p930
p622,p750
p1104,p945
p616,p1933
p1777,p1736
p1499,p793
p1782,p1944
p207,p1070
p645,p1155
p1489,p548
p1081,p500
p1798,p1536
p672,p703
p1797,p275
p1475,p127
p1476,p1448
p1938,p1603
p667,p450
p1895,p1606
p974,p884
p1479,p1249
p1795,p271
p1482,p857
p1794,p1810
p1939,p96
p1483,p149
p1303,p1088
p1485,p969
p1089,p1226
p1090,p1071
p1084,p1410
p1940,p1910
p186,p1825
p1064,p722
p1848,p872
p1847,p304
p1846,p779
p1015,p971
p1016,p955
p800,p1671
p1017,p1346
p1902,p1148
p796,p1637
p1688,p1927
p153,p1284
p1410,p1981
p1914,p1579
p1840,p1268
p1901,p334
p845,p1553
p1321,p918
p782,p1718
p1415,p1843
p779,p1956
p1837,p1895
p1028,p1521
p1857,p569
p1910,p1548
p841,p503
p809,p1017
p835,p1894
p994,p1555
p91,p1066
p1903,p457
p1398,p1812
p830,p1162
p1904,p1909
p1329,p850
p826,p1796
p1001,p71
p1394,p1108
p1003,p942
p1403,p1275
p821,p1670
p1004,p635
p1330,p1059
p818,p113
p816,p1274
p1908,p1240
p814,p1412
p1851,p1317
p1009,p1180
p1010,p1033
p1029,p973
p1417,p1098
p773,p1178
p1419,p1856
p1333,p1364
p1823,p1826
p1387,p1195
p1931,p1426
p1439,p174
p1313,p656
p1440,p1034
p728,p1288
p726,p1531
p1105,p1930
p858,p1769
p722,p1384
p1816,p837
p1312,p1533
p1445,p1633
p717,p601
p715,p1879
p1057,p59
p1859,p764
p1809,p1685
p1061,p1648
p1807,p151
p1453,p1615
p854,p1494
p979,p751
p1332,p1021
p1826,p1954
p770,p1493
p769,p1919
p1392,p1111
p1391,p1244
p1318,p1902
p1923,p1799
p1925,p1900
p849,p1822
p1831,p1659
p760,p1668
p1036,p1774
p1038,p1113
p755,p816
p1928,p342
p1041,p602
p1429,p1001
p1929,p683
p750,p551
p1430,p592
p748,p1918
p1432,p1604
p1045,p175
p1046,p1004
p177,p1208
p1502,p88
p243,p728
p1503,p745
p1612,p1635
p1194,p247
p1195,p838
p1196,p489
p1365,p1507
p1262,p513
p1616,p284
p1617,p1215
p1199,p953
p1364,p1697
p1723,p627
p300,p1237
p1721,p1779
p428,p1185
p303,p494
p1625,p740
p304,p1947
p1260,p1030
p1718,p425
p420,p1985
p1717,p1889
p418,p1056
p1349,p621
p1611,p861
p913,p705
p1366,p1691
p1608,p1893
p1971,p225
