p1887,p1892
p103,p97
p1522,p1908
p1068,p1113
p1844,p1377
p790,p820
p781,p151
p780,p1917
p1584,p424
p65,p694
p612,p400
p1343,p820
p1835,p1485
p375,p1172
p1621,p94
p677,p1289
p191,p1527
p867,p158
p1356,p535
p307,p1377
p1338,p1485
p1351,p820
p319,p1902
p1359,p694
p1331,p1902
p324,p151
p304,p69
p655,p1578
p1348,p1917
p1355,p978
p0,p1050
p1306,p273
p1299,p1632
p302,p771
p342,p273
p1290,p471
p346,p1629
p1283,p471
p1278,p213
p1272,p1892
p1265,p1859
p1250,p273
p1245,p39
p371,p725
p373,p1172
p334,p1928
p1298,p1632
p1407,p599
p1372,p1366
p1555,p1859
p217,p1632
p1563,p1485
p214,p1289
p204,p1917
p1585,p475
p1586,p820
p1591,p1377
p1608,p1366
p187,p1902
p179,p725
p1645,p1859
p1656,p69
p1658,p490
p1659,p269
p1538,p1917
p236,p1632
p1501,p1917
p245,p1366
p1378,p1403
p1394,p1050
p1396,p771
p1229,p1892
p283,p1902
p1420,p761
p279,p1632
p1368,p108
p277,p1632
p1423,p1902
p270,p108
p259,p1377
p1477,p820
p249,p510
p1488,p471
p1494,p1379
p276,p978
p378,p725
p1202,p471
p1226,p1928
p827,p978
p830,p1917
p834,p490
p568,p978
p864,p1632
p869,p1403
p873,p1918
p554,p978
p878,p151
p888,p1632
p892,p1917
p898,p1403
p902,p1892
p906,p1892
p532,p761
p576,p1377
p928,p1917
p579,p820
p586,p1925
p657,p1892
p667,p1908
p675,p1297
p689,p725
p697,p1908
p715,p1297
p733,p771
p740,p151
p746,p424
p749,p694
p766,p1940
p604,p1113
p601,p1297
p800,p1094
p807,p1297
p583,p987
p1227,p213
p526,p213
p944,p1917
p1098,p424
p1100,p1629
p1102,p490
p441,p213
p1110,p1050
p1125,p761
p1143,p199
p1185,p213
p399,p151
p398,p1859
p1194,p1892
p166,p1902
p1203,p1632
p1214,p1366
p1215,p771
p1097,p969
p942,p1297
p1087,p1918
p1081,p820
p971,p400
p981,p1366
p993,p897
p499,p1632
p996,p1908
p1998,p1691
p1011,p535
p1012,p1917
p488,p1859
p1022,p1908
p484,p1527
p1032,p151
p1046,p1632
p466,p1377
p461,p987
p1084,p1289
p1665,p1917
p654,p273
p1761,p820
p1977,p1902
p150,p1917
p9,p820
p1974,p94
p11,p535
p1742,p1902
p138,p424
p1853,p1928
p1926,p1902
p129,p779
p1895,p969
p1930,p1928
p1885,p1527
p1823,p1050
p1968,p199
p102,p151
p1934,p812
p1805,p1235
p1785,p1629
p99,p1892
p1802,p771
p1880,p978
p133,p94
p1799,p897
p26,p1908
p96,p273
p1733,p1908
p1794,p812
p25,p1892
p1832,p471
p80,p1289
p127,p1892
p1923,p1297
p1912,p1113
p1670,p563
p1754,p1918
p1675,p1892
p1992,p1928
p40,p1094
p105,p820
p1679,p1859
p1681,p1297
p1987,p1908
p1921,p1917
p1684,p1917
p1922,p969
p1744,p1925
p75,p1050
p1899,p1917
p1014,p1578
p950,p725
p1015,p987
p1018,p761
p977,p1908
p1877,p1403
p1023,p1908
p947,p1235
p945,p490
p975,p771
p976,p969
p1901,p820
p1019,p424
p948,p978
p951,p273
p1882,p1859
p968,p812
p966,p1113
p986,p725
p988,p108
p1889,p812
p1886,p273
p965,p424
p962,p1892
p970,p820
p958,p1908
p1884,p1632
p952,p1918
p1000,p424
p1001,p761
p1007,p151
p1881,p1578
p1873,p969
p1669,p1917
p1030,p725
p1852,p987
p1099,p1629
p1850,p273
p1849,p69
p1103,p199
p1104,p1527
p1106,p1235
p1107,p1908
p1848,p694
p1109,p94
p1847,p1113
p1112,p978
p1096,p108
p1115,p1892
p1117,p199
p1118,p812
p1121,p158
p1123,p273
p1841,p108
p1129,p1629
p1133,p1632
p1134,p1673
p1137,p400
p1138,p779
p1140,p1629
p1142,p1691
p1116,p1940
p1095,p563
p1091,p486
p1088,p725
p1872,p969
p1035,p475
p1036,p69
p1037,p1892
p1038,p1297
p1869,p475
p1910,p987
p1054,p424
p1056,p1172
p1057,p1403
p1059,p158
p1060,p1928
p1061,p97
p1064,p97
p1066,p771
p1868,p424
p1863,p1235
p1070,p475
p1072,p1297
p1073,p1527
p1862,p1485
p1077,p1892
p1079,p694
p1860,p273
p1856,p1485
p1085,p1918
p1855,p475
p1026,p1902
p1052,p1379
p913,p273
p937,p1917
p754,p563
p756,p1859
p758,p97
p759,p69
p1970,p1917
p760,p1377
p762,p199
p763,p761
p765,p1632
p1969,p599
p767,p1578
p753,p273
p768,p424
p774,p269
p1962,p535
p776,p1918
p1957,p1094
p1956,p1928
p782,p273
p783,p1629
p1954,p563
p791,p897
p794,p978
p795,p1377
p772,p1527
p750,p897
p729,p820
p722,p151
p1994,p199
p659,p1917
p660,p1908
p661,p108
p662,p273
p664,p1859
p666,p978
p672,p1859
p673,p820
p1982,p563
p678,p1377
p679,p1902
p686,p1892
p688,p1366
p1980,p812
p693,p1691
p696,p1859
p1979,p694
p699,p1892
p707,p1172
p710,p1928
p714,p1172
p1978,p1892
p716,p1632
p721,p820
p798,p761
p1951,p599
p804,p273
p806,p94
p1931,p535
p874,p1902
p875,p1297
p1929,p1892
p879,p1859
p882,p812
p885,p1366
p890,p1859
p893,p94
p895,p1859
p896,p108
p900,p151
p1915,p1377
p911,p273
p1838,p400
p917,p1908
p920,p1928
p922,p1859
p923,p725
p1914,p471
p929,p761
p930,p1629
p931,p1859
p932,p1628
p933,p1902
p872,p471
p939,p1235
p871,p1403
p866,p725
p1950,p1908
p1949,p897
p811,p978
p813,p69
p1945,p273
p817,p1289
p818,p424
p821,p269
p1942,p1859
p822,p1892
p826,p1050
p1941,p1673
p828,p1094
p832,p273
p1939,p199
p836,p1050
p837,p1902
p1938,p269
p840,p1673
p841,p563
p847,p978
p857,p1289
p860,p1859
p861,p978
p1937,p1050
p1936,p771
p1146,p1892
p1169,p1917
p1153,p1632
p1469,p273
p1476,p486
p1483,p158
p1486,p199
p1487,p486
p1735,p424
p1491,p1917
p1732,p1297
p1731,p1629
p1502,p94
p1503,p1908
p1504,p1366
p1507,p1403
p1509,p1628
p1510,p1632
p1511,p97
p1730,p39
p1513,p1859
p1516,p1859
p1519,p563
p1521,p1918
p1727,p273
p1524,p1289
p1529,p1902
p1536,p820
p1468,p1892
p1724,p1379
p1463,p151
p1736,p1113
p1404,p510
p1405,p1902
p1406,p563
p1409,p725
p1743,p1297
p1411,p969
p1415,p1908
p1422,p1527
p1739,p1928
p1738,p424
p1429,p490
p1431,p820
p1433,p978
p1435,p563
p1737,p1908
p1436,p563
p1437,p978
p1440,p1377
p1441,p897
p1442,p1859
p1443,p471
p1444,p1172
p1449,p897
p1453,p1172
p1460,p199
p1462,p1908
p1402,p97
p1542,p108
p1545,p1377
p1687,p151
p1609,p1403
p1611,p1297
p1612,p69
p1615,p1859
p1682,p1235
p1616,p1403
p1618,p1908
p1622,p535
p1624,p1379
p1625,p1050
p1626,p1377
p1627,p1632
p1631,p273
p1639,p1917
p1641,p424
p1678,p510
p1650,p69
p1652,p761
p1657,p1917
p1674,p812
p1671,p273
p1660,p1928
p1662,p1050
p1664,p1918
p1606,p273
p1543,p1917
p1603,p1379
p1597,p1925
p1546,p1859
p1550,p761
p1553,p97
p1721,p1673
p1557,p151
p1561,p158
p1720,p969
p1716,p1892
