p952,p799
p1940,p1289
p368,p812
p523,p1809
p586,p1830
p322,p739
p474,p1228
p1472,p1423
p1852,p1228
p1932,p809
p1519,p1830
p1934,p544
p1828,p1809
p1496,p1800
p1685,p1830
p311,p1237
p1735,p235
p372,p1790
p1678,p1563
p1902,p860
p375,p1467
p1905,p739
p950,p828
p920,p1790
p1323,p1846
p926,p1846
p1511,p178
p209,p1374
p931,p1811
p211,p178
p1174,p1563
p385,p830
p654,p1423
p559,p1830
p1328,p739
p1171,p739
p556,p178
p213,p1712
p773,p1874
p329,p676
p1894,p1814
p1697,p235
p1201,p809
p808,p1874
p154,p739
p851,p178
p849,p1830
p610,p1423
p811,p1830
p1869,p235
p340,p1289
p1294,p178
p815,p1811
p1847,p739
p180,p1228
p1716,p1752
p330,p1833
p842,p860
p1841,p1830
p868,p1814
p1476,p856
p315,p1830
p1887,p15
p892,p739
p1884,p1830
p192,p809
p354,p1809
p801,p809
p1222,p178
p352,p1752
p593,p195
p1227,p969
p1443,p1811
p1233,p739
p144,p1825
p873,p1814
p1486,p195
p1695,p499
p626,p858
p1798,p1237
p667,p1809
p1972,p1889
p1618,p1913
p1758,p1830
p236,p739
p258,p1752
p747,p1712
p506,p809
p1037,p1790
p1002,p178
p424,p1752
p1005,p969
p40,p254
p1415,p1393
p1011,p1830
p1090,p15
p243,p1846
p1094,p1811
p689,p860
p1358,p1238
p282,p1752
p734,p1889
p251,p1809
p489,p1752
p27,p1389
p1346,p969
p1131,p1374
p259,p1809
p1096,p1467
p402,p1889
p658,p178
p401,p1467
p1395,p1289
p1079,p1752
p65,p969
p1056,p858
p1659,p969
p1942,p1830
p962,p1250
p975,p1237
p1337,p1790
p769,p1825
p529,p830
p1776,p1752
p700,p830
p1139,p131
p756,p858
p755,p178
p542,p1811
p1780,p969
p227,p178
p1611,p809
p1444,p254
p697,p1228
p632,p1752
p628,p676
p1401,p1289
p694,p739
p1446,p676
p1398,p1289
p1445,p686
p699,p809
p1402,p1809
p1399,p1237
p656,p1289
p1405,p15
p651,p254
p1429,p856
p1428,p1809
p661,p676
p662,p1752
p650,p1830
p664,p254
p1437,p739
p647,p809
p646,p676
p645,p1822
p666,p739
p1404,p1752
p1422,p1250
p669,p1228
p1420,p739
p642,p858
p640,p1874
p639,p1237
p1430,p1524
p679,p969
p1408,p969
p638,p969
p636,p1800
p635,p1913
p683,p1643
p1438,p1423
p1432,p1389
p1999,p1913
p1452,p1809
p501,p1238
p1572,p1830
p1570,p858
p507,p1238
p508,p1822
p1566,p1800
p1556,p1811
p1553,p809
p1551,p1752
p1548,p739
p524,p1467
p1543,p1752
p527,p969
p528,p1913
p1542,p1393
p1540,p1390
p1539,p739
p535,p1877
p1537,p1238
p500,p178
p1574,p1228
p497,p1752
