p1768,p513
p1007,p468
p1850,p1209
p516,p774
p584,p1974
p1901,p1712
p1377,p1972
p592,p727
p1634,p925
p1897,p416
p798,p1855
p1633,p847
p1631,p1445
p1629,p727
p1940,p287
p605,p1991
p259,p168
p80,p136
p613,p1684
p1412,p1158
p1836,p1216
p968,p1684
p1127,p433
p359,p1974
p853,p1209
p1782,p1209
p1678,p462
p207,p1445
p769,p1134
p271,p604
p1086,p1391
p580,p1354
p1844,p1991
p103,p1359
p417,p1329
p413,p1215
p833,p1209
p930,p1495
p1740,p727
p231,p410
p544,p727
p828,p1158
p406,p847
p547,p416
p143,p1902
p554,p1359
p1854,p1796
p907,p1066
p388,p410
p1651,p1292
p387,p1495
p1136,p136
p384,p468
p567,p1066
p110,p604
p1847,p410
p811,p847
p245,p1967
p1324,p468
p149,p1274
p1924,p1329
p1607,p1158
p986,p1445
p1143,p136
p1246,p604
p471,p1130
p1975,p168
p193,p462
p1224,p1614
p1566,p1292
p675,p1967
p33,p727
p1355,p1974
p738,p1134
p678,p1973
p1575,p925
p1559,p1407
p295,p1937
p475,p1292
p1102,p1735
p1982,p1158
p1983,p1354
p21,p168
p183,p604
p194,p416
p1988,p1215
p1018,p727
p689,p1712
p1992,p1309
p1980,p1354
p1112,p418
p742,p1973
p1028,p468
p1570,p136
p452,p1309
p1118,p1972
p763,p1309
p706,p1209
p57,p1511
p3,p1209
p1536,p1855
p1376,p1495
p649,p1407
p1538,p433
p893,p1712
p1370,p1407
p491,p847
p1201,p1391
p1362,p1158
p755,p1391
p489,p1972
p1366,p1309
p285,p416
p1462,p1735
p1811,p979
p1795,p727
p726,p728
p430,p1973
p908,p349
p423,p1407
p428,p1158
p886,p1066
p1709,p468
p1703,p1407
p1704,p774
p888,p1972
p1717,p1684
p437,p847
p1451,p513
p889,p513
p902,p1134
p1706,p433
p901,p1937
p1708,p136
p1713,p876
p920,p1032
p450,p1292
p435,p1274
p1710,p1158
p616,p433
p931,p433
p987,p1972
p346,p847
p343,p728
p341,p1359
p1390,p1911
p1794,p136
p1387,p847
p1386,p772
p1800,p727
p332,p876
p1383,p1066
p328,p847
p1001,p1973
p1382,p416
p1806,p847
p324,p349
p323,p876
p322,p1495
p1005,p1329
p1810,p1973
p316,p1902
p1787,p136
p985,p1511
p352,p1274
p1406,p1974
p1741,p1158
p940,p1407
p1431,p1973
p1429,p1391
p394,p847
p951,p244
p1754,p1407
p1759,p1130
p953,p1445
p955,p410
p923,p433
p1418,p1684
p1417,p979
p963,p772
p1465,p1407
p1770,p168
p1771,p1158
p366,p774
p1415,p136
p1777,p1329
p1411,p1721
p708,p604
p1766,p772
p466,p410
p851,p1401
p1466,p1209
p642,p513
p639,p1991
p767,p1407
p1606,p1902
p634,p1134
p633,p728
p771,p979
p1610,p468
p1533,p876
p1532,p1735
p624,p1902
p1527,p1973
p620,p1974
p1619,p1359
p780,p1158
p1622,p1391
p1232,p168
p609,p1407
p1625,p1973
p793,p410
p1632,p416
p594,p1359
p1513,p1329
p590,p1274
p1510,p1902
p643,p1974
p760,p1158
p757,p1216
p756,p772
p712,p1130
p1569,p847
p716,p1134
p717,p1973
p699,p1274
p697,p1973
p688,p1495
p1557,p1937
p730,p1329
p685,p1972
p731,p772
p734,p1158
p588,p728
p1551,p416
p673,p1407
p671,p1735
p744,p1445
p1545,p847
p748,p1407
p752,p416
p753,p1066
p1594,p1158
p754,p876
p657,p1216
p1597,p1445
p654,p1937
p739,p513
p586,p136
p583,p1721
p1637,p727
p518,p410
p1671,p513
p515,p136
p850,p418
p1675,p1614
p510,p1684
p509,p1209
p508,p468
p854,p416
p502,p1354
p857,p136
p1680,p1721
p1668,p1158
p498,p1712
p495,p1391
p1686,p1974
p869,p1158
p1693,p287
p482,p1902
p481,p1445
p1471,p349
p1694,p1973
p1468,p410
p473,p727
p472,p513
p469,p1274
p496,p1967
p882,p1974
p523,p513
p529,p1684
p577,p1684
p808,p410
p574,p1292
p569,p925
p568,p1684
p566,p1158
p1505,p349
p1504,p1215
p820,p168
p1652,p136
p823,p1911
p555,p1209
p1489,p1735
p552,p1855
p827,p1134
p546,p1855
p829,p604
p542,p1407
p830,p1614
p831,p1937
p1491,p468
p835,p1967
p534,p1973
p837,p728
p532,p136
p1659,p1303
p551,p462
p1378,p1391
p1571,p604
p1013,p1216
p1293,p1445
p1291,p1974
p163,p513
p1290,p727
p309,p1209
p155,p1391
p1898,p168
p1132,p1974
p1900,p728
p1140,p1974
p141,p1445
p1283,p1972
p1121,p1134
p1282,p1303
p1909,p287
p133,p349
p132,p287
p131,p244
p129,p1972
p1280,p1158
p127,p847
p1915,p1972
p123,p1911
p1916,p1991
p1917,p1614
p1153,p1209
p137,p1167
p1920,p728
p1296,p1973
p173,p1972
p1082,p772
p1326,p774
p1862,p1134
p214,p1216
p212,p1445
p206,p1391
p1322,p1974
p1321,p1158
p1866,p1721
p201,p1991
p1094,p1292
p1312,p728
p1299,p1974
p1310,p1937
p191,p1712
p1306,p136
p1104,p1391
p1105,p1274
p1107,p1109
p185,p1735
p181,p727
p1111,p774
p179,p136
p1878,p1445
p177,p1292
p174,p847
p1871,p513
p1327,p1445
p1155,p416
p1276,p1216
p1199,p1973
p48,p1167
p1204,p1303
p44,p1972
p43,p1359
p1966,p168
p1249,p1735
p1969,p1292
p39,p1445
p37,p1407
p1208,p1445
p34,p244
p1960,p1855
p31,p1991
p1245,p168
p1981,p1292
p1242,p1032
p1218,p513
p14,p1445
p1993,p1158
p1220,p876
p7,p727
p1227,p1359
p1229,p1401
p4,p1614
p1230,p1209
p1210,p772
p113,p287
p1253,p513
p1254,p1974
p1921,p1684
p1922,p433
p1923,p1511
p1161,p1066
p1275,p1967
p1164,p1359
p1166,p1134
p1926,p1407
p1272,p774
p94,p979
p1170,p728
p88,p1495
p1958,p287
p1938,p1495
p84,p1309
p1175,p1354
p1942,p772
p1943,p1391
p1944,p1158
p1945,p1911
p1186,p979
p66,p727
p1189,p1972
p63,p727
p62,p1292
p1257,p604
p1939,p1973
p220,p1109
p1895,p1134
p1859,p1712
p1056,p1855
p1058,p727
p253,p1401
p1060,p1974
p1843,p410
p250,p1937
p246,p410
p243,p728
p1848,p1309
p241,p1796
p1065,p847
p1852,p1974
p1340,p979
p1068,p1684
p1071,p1991
p1052,p1967
p1072,p1974
p264,p1495
p270,p604
p1016,p1158
p1818,p1614
p303,p1445
p301,p1209
p1021,p1937
p1022,p433
p1373,p1902
p293,p1972
p1823,p349
p1367,p1937
p1827,p1130
p1034,p1167
p1036,p727
p1361,p1721
p273,p727
p1835,p1937
p228,p847
p1838,p1134
p1075,p604
p1858,p1407
p1437,p1967
p777,p1130
p1266,p1735
p1529,p604
p1530,p1712
p1265,p1911
p1184,p1902
p1262,p1972
p1040,p433
p770,p1495
p1188,p847
p1181,p876
p988,p1209
p768,p1134
p1259,p727
p1088,p1974
p1394,p418
p1191,p1445
p766,p1139
p765,p244
p1258,p1274
p1037,p287
p1535,p1495
p1256,p979
p899,p1391
p989,p1354
p779,p1391
p1042,p1134
p1180,p1495
p1169,p1209
p1409,p772
p1171,p349
p799,p1614
p1172,p410
p1270,p1134
p1048,p1134
p797,p1130
p1460,p1139
p1047,p1158
p796,p1391
p1516,p410
p794,p604
p1352,p1167
p1174,p1991
p790,p349
p981,p979
p1458,p1391
p789,p1329
p787,p244
p785,p1684
p1269,p772
p1523,p410
p781,p1139
p1045,p1684
p1179,p728
p1457,p727
p1537,p1130
p1035,p136
p1456,p727
p759,p136
p1375,p1721
p733,p1937
p1214,p136
p1003,p1445
p1380,p1167
p1217,p1274
p913,p462
p1241,p1215
p1006,p410
p1017,p1967
p1560,p1139
p1565,p727
p1212,p1495
p912,p1401
p720,p416
p1237,p1973
p718,p1274
p1226,p349
p909,p847
p1009,p1902
p1568,p1974
p1010,p1407
p713,p1407
p1011,p1614
p910,p1712
p1235,p1130
p1222,p1407
p1550,p1712
p737,p1796
p1211,p1391
p1389,p1445
p1252,p1511
p1388,p136
p1200,p1130
p1364,p876
p1202,p1167
p1323,p1407
p1205,p468
p918,p1973
p1025,p410
p1385,p1130
p751,p287
p1540,p1134
p1543,p287
p1998,p1216
p1455,p287
p1547,p1134
p1024,p287
p743,p1309
p1248,p1855
p1085,p168
p1548,p1974
p1078,p136
p740,p1329
p1446,p1167
p1449,p1974
p1374,p168
p973,p1902
p1271,p1216
p1089,p1735
p1074,p1972
p858,p847
p942,p1974
p1339,p1911
p856,p604
p1308,p349
p855,p1937
p946,p1511
p1126,p1974
p1129,p1158
p1427,p876
p1131,p1684
p1483,p1209
p1120,p847
p948,p1973
p1426,p1274
p928,p1967
p1133,p349
p1287,p1292
p1286,p1407
p849,p1329
p848,p1796
p1137,p1407
p846,p1495
p1285,p1329
p844,p462
p843,p1972
p949,p1967
p841,p136
p859,p1911
p1117,p1967
p1106,p1445
p879,p1973
p1335,p1359
p1438,p1902
p1108,p847
p1300,p1158
p885,p1292
p877,p1158
p1469,p1974
p1436,p1735
p1470,p416
p934,p1303
p1119,p876
p936,p1974
p873,p410
p871,p1158
p1113,p1735
p938,p416
p867,p1973
