p1383,p438
p1738,p438
p1188,p56
p105,p47
p1849,p811
p1182,p159
p492,p406
p594,p338
p1820,p77
p445,p139
p981,p395
p633,p35
p1114,p203
p1750,p507
p988,p502
p1285,p676
p583,p475
p1668,p203
p720,p38
p1817,p68
p1287,p159
p1735,p47
p1651,p218
p525,p68
p1671,p502
p1529,p560
p959,p282
p1360,p395
p1544,p560
p1074,p181
p328,p346
p463,p204
p965,p217
p746,p183
p902,p395
p1384,p35
p1262,p811
p75,p203
p165,p438
p1069,p66
p1926,p164
p1197,p395
p518,p438
p1751,p509
p831,p35
p1623,p183
p841,p203
p384,p183
p1488,p406
p1307,p338
p1575,p496
p1309,p507
p389,p142
p928,p21
p692,p392
p1228,p475
p691,p68
p1024,p117
p1391,p198
p1018,p395
p1032,p21
p1579,p190
p1393,p274
p1318,p9
p1712,p218
p1694,p194
p1171,p190
p541,p395
p1691,p218
p1409,p217
p1211,p183
p1296,p289
p1297,p9
p1565,p68
p1418,p204
p33,p178
p1902,p181
p578,p283
p577,p274
p1378,p124
p1566,p32
p1613,p139
p1414,p217
p1212,p277
p790,p117
p455,p502
p1361,p395
p1713,p68
p803,p282
p1351,p139
p1714,p502
p792,p162
p1347,p218
p1719,p602
p795,p124
p1209,p676
p1788,p93
p806,p183
p1779,p139
p1163,p413
p1164,p509
p477,p406
p1169,p32
p1770,p183
p1768,p289
p1514,p68
p1367,p274
p1172,p274
p1760,p218
p835,p218
p1758,p124
p1175,p475
p1365,p676
p1176,p438
p1749,p183
p1362,p203
p257,p47
p809,p218
p1729,p346
p1731,p413
p812,p218
p1198,p438
p818,p346
p1524,p38
p466,p274
p635,p217
p634,p509
p1747,p164
p1519,p602
p558,p289
p785,p77
p1340,p560
p1227,p218
p1288,p190
p1626,p144
p426,p56
p724,p124
p427,p395
p1279,p405
p1278,p277
p1277,p274
p1637,p217
p732,p277
p733,p142
p666,p177
p1641,p194
p1331,p77
p737,p198
p1622,p177
p1271,p139
p1292,p142
p1617,p395
p1589,p68
p399,p475
p1311,p9
p1594,p866
p1596,p866
p1576,p438
p1599,p178
p1604,p178
p1324,p283
p1569,p56
p1303,p274
p418,p217
p1610,p282
p672,p549
p705,p68
