p459,p1939
p274,p385
p489,p708
p597,p1426
p620,p1361
p1219,p1460
p54,p1708
p1468,p1701
p1491,p1985
p1241,p1653
p711,p1380
p534,p734
p1103,p1107
p1529,p1561
p1258,p1399
p185,p1662
p1060,p1153
p1514,p1590
p704,p1283
p1741,p1840
p187,p320
p1161,p1307
p1453,p1799
p1794,p1947
p295,p895
p1402,p1718
p86,p1756
p1271,p1935
p38,p1655
p873,p1136
p366,p483
p1104,p1255
p903,p1409
p704,p1921
p129,p1462
p542,p986
p121,p722
p764,p1883
p227,p1878
p292,p1867
p1527,p1829
p47,p1145
p770,p1608
p998,p1571
p114,p526
p97,p598
p1099,p1903
p1608,p1665
p12,p193
p475,p1564
p1113,p1899
p937,p1491
p1050,p1817
p866,p1358
p953,p1700
p1432,p1556
p1138,p1156
p423,p719
p1085,p1726
p670,p721
p1050,p1951
p14,p1866
p443,p1086
p1295,p1749
p107,p351
p893,p1565
p304,p1062
p102,p1599
p483,p1125
p1477,p1510
p543,p1121
p854,p1152
p309,p1787
p88,p604
p147,p259
p1274,p1986
p955,p1835
p1362,p1683
p1684,p1977
p62,p349
p93,p916
p1184,p1888
p1682,p1985
p1193,p1414
p307,p1685
p1094,p1707
p1125,p1733
p984,p1659
p746,p1684
p602,p693
p933,p1395
p19,p107
p31,p1226
p184,p976
p827,p1596
p229,p1622
p581,p1788
p1060,p1565
p847,p1013
p102,p1213
p925,p1534
p151,p1344
p470,p1589
p516,p1692
p1619,p1759
p429,p1170
p1149,p1400
p365,p623
p460,p1846
p2,p1684
p530,p1288
p1250,p1433
p263,p809
p96,p380
p1478,p1643
p1018,p1688
p1248,p1558
p1728,p1929
p1663,p1793
p820,p1351
p771,p1710
p1746,p1855
p1512,p1874
p689,p1295
p443,p976
p189,p1856
p633,p1918
p538,p896
p1503,p1668
p1609,p1909
p1626,p1971
p1798,p1866
p259,p1572
p155,p1748
p75,p1166
p291,p342
p814,p1528
p198,p1530
p342,p1176
p511,p1902
p1414,p1425
p524,p1036
p1429,p1851
p1002,p1455
p220,p1791
p1175,p1574
p1370,p1637
p654,p1317
p15,p1536
p215,p775
p48,p1254
p38,p1966
p321,p875
p886,p983
p39,p855
p2,p597
p31,p413
p1135,p1911
p1832,p1920
p1475,p1674
p958,p1150
p1443,p1816
p1690,p1779
p288,p1427
p1763,p1964
p540,p1049
p531,p1104
p653,p743
p1538,p1736
p191,p1247
p771,p1500
p231,p1150
p1096,p1294
p164,p1769
p1665,p1845
p727,p830
p517,p1483
p1354,p1647
p919,p1698
p1472,p1715
p111,p1954
p814,p1017
p519,p965
p255,p759
p594,p1513
p297,p1396
p448,p1159
p1085,p1177
p912,p1977
p1677,p1827
p739,p964
p1058,p1067
p1404,p1412
p155,p1725
p536,p1594
p867,p1917
p780,p1845
p699,p831
p272,p302
p974,p1349
p575,p743
p854,p1744
p176,p1434
p778,p948
p803,p1344
p383,p1645
p476,p1034
p619,p1469
p1340,p1677
p1359,p1777
p1075,p1213
p377,p439
p477,p836
p1218,p1317
p1364,p1542
p899,p1973
p905,p1630
p1434,p1876
p674,p818
p1213,p1687
p850,p1458
p142,p1597
p525,p907
p1517,p1846
p594,p1751
p417,p1164
p142,p1969
p16,p1589
p567,p1597
p818,p1690
p1899,p1973
p268,p418
p18,p1125
p1290,p1879
p912,p959
p56,p255
p158,p1127
p273,p1940
p380,p1475
p267,p1273
p658,p1101
p540,p1130
p572,p1990
p1496,p1673
p221,p677
p1103,p1264
p721,p1056
p950,p1394
p337,p1948
p1039,p1483
p779,p1439
p610,p870
p1016,p1846
p148,p200
p835,p1910
p425,p704
p212,p1303
p303,p1466
p6,p738
p565,p872
p654,p1027
p188,p678
p364,p1179
p714,p1513
p1752,p1965
p1001,p1566
p610,p981
p595,p1547
p1380,p1498
p1077,p1772
p236,p1016
p242,p1200
p854,p1986
p1560,p1609
p133,p1483
p1412,p1919
p133,p656
p532,p1603
p328,p387
p747,p813
p743,p1548
p420,p909
p84,p906
p152,p1773
p1646,p1687
p1196,p1811
p466,p856
p452,p1221
p1094,p1172
p94,p873
p920,p952
p173,p1733
