p861,p951
p586,p1880
p12,p1834
p1449,p1755
p1860,p1996
p1626,p1948
p512,p859
p195,p1808
p556,p1024
p4,p818
p168,p1388
p1385,p1622
p1083,p1341
p924,p1905
p493,p1043
p995,p1992
p562,p1476
p1646,p1779
p661,p1250
p276,p1483
p56,p300
p1168,p1959
p617,p1759
p231,p1881
p1720,p1786
p1360,p1935
p541,p1631
p1364,p1438
p514,p1876
p1167,p1572
p356,p1149
p728,p853
p1077,p1386
p352,p1018
p497,p824
p73,p862
p385,p394
p481,p1498
p665,p1942
p1414,p1582
p540,p1946
p300,p654
p5,p1145
p561,p1402
p28,p1533
p606,p1833
p523,p1803
p1668,p1910
p1461,p1593
p456,p1013
p663,p1688
p1594,p1823
p14,p782
p1424,p1644
p754,p925
p11,p1417
p1160,p1203
p299,p393
p127,p1781
p45,p1796
p190,p1960
p177,p1278
p338,p663
p177,p1664
p1298,p1363
p81,p179
p417,p1897
p286,p408
p300,p572
p116,p1246
p467,p1901
p1561,p1585
p1011,p1090
p95,p288
p761,p1050
p312,p1140
p448,p1012
p824,p913
p1320,p1380
p759,p1233
p202,p454
p453,p1209
p523,p1670
p33,p1700
p333,p369
p812,p1724
p25,p127
p270,p736
p1107,p1793
p52,p201
p1390,p1895
p190,p1797
p872,p1372
p152,p1145
p1072,p1708
p24,p1719
p1319,p1619
p134,p579
p816,p1092
p15,p941
p452,p1698
p886,p1687
p802,p1276
p1201,p1853
p526,p612
p492,p545
p556,p1733
p1625,p1777
p771,p1468
p278,p1810
p557,p1256
p401,p1962
p45,p1166
p82,p988
p743,p1317
p107,p926
p480,p1074
p211,p1135
p1034,p1327
p1305,p1998
p181,p704
p85,p1625
p1138,p1804
p797,p821
p288,p1325
p864,p1320
p100,p1292
p709,p1842
p576,p1420
p178,p1644
p553,p703
p371,p1773
p1597,p1602
p646,p1798
p909,p1471
p530,p785
p1713,p1969
p1939,p1958
p1376,p1921
p1252,p1972
p554,p935
p509,p673
p435,p1808
p783,p1211
p15,p703
p1433,p1856
p62,p1503
p1437,p1717
p174,p1244
p105,p1208
p548,p1611
p854,p994
p309,p1642
p525,p884
p753,p1318
p956,p1212
p89,p1274
p176,p924
p550,p1319
p578,p630
p615,p1467
p864,p1813
p127,p1921
p680,p1901
p524,p1324
