p827,p980
p360,p1542
p1182,p1942
p578,p1418
p209,p1941
p284,p515
p994,p1738
p148,p862
p229,p1881
p675,p1607
p610,p1240
p183,p1755
p294,p997
p208,p1873
p614,p1391
p1184,p1371
p610,p1073
p1617,p1978
p475,p516
p963,p1743
p579,p1404
p39,p1254
p562,p892
p373,p768
p315,p1082
p625,p1015
p360,p1110
p1404,p1507
p346,p1327
p1440,p1483
p718,p1014
p827,p939
p436,p1637
p715,p1262
p656,p1000
p930,p1187
p262,p1169
p107,p1432
p673,p1383
p105,p543
p444,p896
p584,p1070
p814,p1789
p711,p812
p282,p1161
p274,p951
p543,p1734
p536,p1141
p532,p1419
p704,p863
p1256,p1945
p423,p546
p1720,p1962
p300,p1931
p910,p935
p280,p628
p577,p1727
p1914,p1919
p1546,p1939
p85,p417
p494,p813
p928,p1305
p616,p1075
p1050,p1887
p103,p1574
p489,p1167
p359,p1213
p569,p1951
p287,p1611
p145,p463
p229,p1638
p1075,p1163
p974,p1360
p433,p1955
p1389,p1685
p184,p1037
p237,p528
p349,p1769
p1407,p1986
p1175,p1716
p1404,p1774
p681,p1492
p378,p1584
p593,p1220
p312,p1198
p191,p1871
p108,p498
p958,p1567
p523,p1153
p554,p1843
p470,p1114
p107,p1353
p86,p899
p467,p1875
p240,p1588
p309,p1978
p655,p1201
p807,p1640
p1624,p1757
p526,p858
p70,p734
p281,p1791
p371,p1874
p751,p1356
p1672,p1808
p937,p1691
p980,p1560
p548,p1914
p6,p791
p365,p1996
p226,p673
p340,p1492
p156,p1304
p719,p919
p206,p514
p140,p1267
p464,p916
p267,p779
p141,p1701
p1346,p1762
p758,p1571
p806,p1991
p765,p1470
p1318,p1715
p1474,p1509
p952,p1566
p642,p1102
p1156,p1584
p786,p1957
p558,p1737
p172,p1115
p1,p1672
p1850,p1864
p12,p545
p1194,p1676
p1243,p1403
p1165,p1918
p1505,p1886
p286,p923
p572,p1638
p499,p1674
p1107,p1680
p205,p1550
p331,p1062
p248,p346
p1235,p1276
p738,p1336
p476,p1638
p1343,p1572
p127,p1916
p1504,p1558
p445,p838
p100,p753
p50,p1353
p878,p1967
p149,p1220
p1059,p1922
p391,p827
p441,p1357
p150,p294
p111,p661
p126,p1196
p157,p928
p564,p827
p1523,p1572
p159,p919
p1191,p1879
p554,p1017
p189,p1184
p1574,p1818
p172,p1038
p555,p1506
p747,p776
p23,p1557
p830,p1130
p23,p1646
p220,p911
p617,p1795
p223,p980
p1881,p1972
p535,p560
p327,p438
p596,p1799
p73,p674
p1319,p1892
p896,p1209
p1625,p1628
p1492,p1521
p14,p1938
p1448,p1819
p1108,p1930
p198,p1221
p1440,p1558
p250,p750
p640,p929
p912,p938
p576,p1000
p841,p1953
p944,p1134
p88,p1937
p728,p1653
p995,p1012
p423,p1412
p561,p890
p188,p1348
p609,p1872
p1148,p1729
p1600,p1973
p750,p1978
p158,p748
p1551,p1963
p1054,p1931
p1168,p1979
p1005,p1756
p186,p1372
p192,p1345
p786,p1438
p947,p1739
p250,p1081
p1108,p1507
p121,p913
p291,p1591
p805,p1400
p234,p1554
p393,p1952
p118,p508
p65,p1272
p791,p1621
p1131,p1624
p21,p560
p1478,p1870
p1194,p1834
p1234,p1920
p477,p1269
p232,p1327
p100,p1818
p1189,p1466
p211,p1732
p862,p1060
p734,p1062
p141,p912
p1054,p1894
p218,p758
p356,p908
p779,p1770
p282,p1229
p596,p1959
p1461,p1561
p244,p1050
p326,p1841
p1403,p1442
p194,p470
p245,p504
p1479,p1765
p863,p1577
p370,p1417
p106,p1461
p32,p454
p1158,p1465
p521,p1043
p1188,p1769
p123,p825
p35,p106
p12,p1853
p664,p943
p303,p1507
p1302,p1554
p525,p616
p1822,p1944
p554,p1717
p193,p1637
p1544,p1669
p167,p438
p269,p711
p211,p1864
p305,p1393
p398,p1429
p722,p888
p650,p819
p923,p1162
p537,p1398
p441,p1937
p284,p321
p31,p1587
p1637,p1657
p1490,p1527
p586,p1162
p950,p996
p1785,p1922
p945,p1053
p1062,p1419
p651,p866
p591,p897
p867,p1312
p14,p309
p665,p1793
p633,p804
p622,p886
p198,p1913
p310,p591
p1649,p1968
p1167,p1866
p1440,p1756
p291,p1726
p296,p1936
p743,p753
p5,p1134
p163,p259
p1283,p1663
p729,p1839
p172,p1765
p976,p1541
p435,p838
p481,p1168
p1438,p1595
p518,p1739
p1164,p1958
p1376,p1405
p782,p815
p709,p928
p1217,p1941
p68,p718
p845,p1936
p824,p1468
p1177,p1477
p674,p879
p225,p587
