p1215,p1692
p47,p369
p181,p1001
p742,p1850
p1197,p1399
p365,p1821
p1498,p1922
p939,p1170
p236,p1377
p361,p1430
p1437,p1601
p1363,p1853
p722,p1854
p1044,p1746
p885,p1937
p453,p823
p1063,p1503
p1426,p1748
p479,p501
p454,p1691
p1485,p1632
p1554,p1729
p83,p1229
p866,p1644
p1115,p1160
p163,p419
p363,p759
p492,p1806
p886,p1215
p322,p1530
p151,p1236
p1102,p1509
p302,p1248
p252,p893
p1725,p1896
p96,p958
p883,p1368
p581,p1945
p1065,p1349
p593,p1916
p866,p1630
p787,p1892
p496,p1510
p525,p729
p223,p336
p336,p484
p274,p1611
p82,p1392
p55,p333
p34,p1045
p51,p1374
p1415,p1758
p205,p1535
p237,p1920
p1429,p1652
p624,p1499
p172,p856
p1533,p1948
p524,p1923
p533,p635
p488,p862
p1156,p1774
p243,p858
p193,p1768
p1311,p1730
p352,p694
p751,p1815
p491,p1823
p705,p744
p813,p934
p469,p1062
p1309,p1362
p420,p619
p201,p261
p1321,p1436
p382,p903
p631,p1976
p326,p1574
p805,p1525
p369,p1201
p518,p557
p1235,p1375
p409,p500
p552,p1367
p570,p1753
p489,p1090
p666,p952
p783,p1871
p903,p1706
p1461,p1929
p185,p499
p625,p1566
p136,p997
p1205,p1581
p421,p1457
p29,p443
p433,p1358
p675,p735
p1069,p1890
p427,p1444
p683,p1248
p649,p770
p491,p1751
p806,p1825
p1544,p1926
p465,p1030
p39,p253
p283,p1606
p873,p1908
p710,p1020
p353,p1615
p453,p1169
p1316,p1969
p1522,p1793
p480,p1508
p149,p1791
p869,p1413
p190,p1509
p891,p1118
p36,p160
p454,p1480
p654,p1244
p1475,p1624
p615,p1083
p382,p1455
p1330,p1720
p76,p865
p764,p1561
p901,p1718
p1599,p1846
p648,p1806
p1121,p1950
p566,p872
p234,p1091
p966,p1901
p155,p483
p410,p713
p792,p811
p93,p954
p1667,p1885
p786,p1508
p902,p1110
p77,p285
p1423,p1553
p467,p1383
p384,p1469
p1117,p1452
p1445,p1475
