p247,p1251
p390,p944
p1023,p1275
p1499,p1811
p212,p1087
p276,p1101
p670,p880
p1753,p1905
p702,p1550
p312,p1756
p1826,p1896
p153,p573
p499,p1052
p769,p1649
p1309,p1337
p824,p1221
p404,p1693
p1669,p1954
p436,p842
p204,p936
p1498,p1651
p883,p1613
p631,p963
p312,p1874
p1708,p1818
p891,p997
p966,p1082
p311,p1609
p149,p954
p9,p730
p373,p1431
p600,p1275
p1550,p1568
p141,p1158
p1419,p1966
p1940,p1985
p1068,p1835
p166,p463
p1626,p1826
p220,p1061
p1044,p1692
p910,p1552
p133,p297
p1728,p1954
p1750,p1967
p1481,p1800
p1513,p1951
p546,p1712
p1681,p1866
p1502,p1872
p277,p1471
p504,p1807
p11,p414
p1199,p1742
p917,p1545
p8,p190
p110,p1075
p446,p1028
p1055,p1250
p754,p1894
p932,p997
p54,p1552
p672,p883
p1602,p1679
p857,p1446
p314,p736
p1843,p1905
p387,p1769
p693,p1007
p1191,p1985
p1065,p1159
p1545,p1734
p65,p1728
p80,p795
p573,p1942
p188,p982
p846,p1071
p182,p349
p1561,p1970
p733,p1782
p327,p1601
p506,p813
p386,p978
p489,p1923
p809,p1013
p357,p1561
p415,p980
p1440,p1475
p665,p1830
p965,p1910
p641,p1575
p45,p1134
p52,p578
p199,p942
p121,p1903
p619,p837
p1183,p1660
p1653,p1734
p7,p170
p485,p1330
p544,p1313
p1164,p1381
p904,p1296
p210,p413
p501,p685
p1138,p1245
p60,p361
p877,p1503
p1729,p1746
p565,p1725
p1215,p1948
p38,p883
p1143,p1524
p1715,p1916
p295,p930
p12,p1900
p434,p780
p126,p1057
p1011,p1262
p499,p1871
p1160,p1607
p280,p1498
p621,p1114
p989,p1462
p1450,p1541
p319,p863
p1690,p1947
p334,p1452
p1089,p1990
p116,p332
p1066,p1362
p22,p1149
p242,p387
p621,p1395
p692,p1064
p150,p686
p1380,p1836
p671,p695
p583,p587
p317,p1120
p423,p1558
p279,p1386
