p99,p307
p1634,p1844
p199,p1222
p218,p561
p185,p647
p1453,p1496
p361,p944
p1112,p1140
p459,p1710
p732,p1269
p1246,p1349
p564,p1589
p290,p994
p134,p994
p561,p1350
p1116,p1334
p955,p1339
p635,p1730
p809,p896
p352,p1522
p1157,p1666
p1228,p1917
p1311,p1402
p89,p1858
p460,p731
p74,p622
p895,p1296
p938,p1036
p1041,p1524
p1141,p1778
p605,p1747
p1009,p1565
p400,p1154
p941,p1951
p932,p1495
p171,p834
p1070,p1223
p780,p1781
p717,p1718
p1051,p1401
p951,p1460
p749,p1759
p1498,p1724
p1417,p1683
p757,p1356
p813,p1424
p391,p956
p154,p1126
p349,p1571
p410,p1675
p644,p773
p436,p692
p1518,p1873
p126,p803
p698,p1273
p193,p700
p888,p1517
p531,p1815
p745,p1685
p679,p1424
p1042,p1748
p337,p1010
p1160,p1536
p2,p840
p1417,p1667
p470,p1057
p1689,p1777
p314,p1362
p764,p962
p1360,p1564
p497,p776
p85,p837
p966,p1016
p1240,p1316
p324,p1218
p1270,p1974
p1223,p1996
p1259,p1761
p263,p560
p988,p1365
p1672,p1794
p1804,p1973
p20,p1893
p1517,p1668
p444,p1557
p359,p721
p533,p836
p168,p235
p726,p1381
p1549,p1917
p105,p1082
p1418,p1932
p422,p976
p1919,p1943
p435,p735
p26,p1619
p1285,p1452
p264,p272
p967,p1747
p1339,p1576
p782,p1728
p1420,p1544
p503,p1541
p1018,p1221
p77,p1540
p67,p138
p719,p1077
p1172,p1583
p900,p1183
p1536,p1705
p640,p1779
p131,p1892
p157,p332
p933,p1966
p1089,p1502
p243,p379
p573,p1679
p19,p515
p1591,p1684
p707,p928
p131,p667
p464,p1114
p1155,p1420
p808,p1783
p5,p1434
p997,p1241
p637,p937
p1228,p1491
p896,p1879
p148,p1457
p199,p798
p1041,p1464
p637,p1909
p69,p516
p772,p846
p202,p209
p227,p1108
p446,p1613
p819,p1594
p300,p1268
p570,p1425
p620,p1127
p762,p1401
p961,p1535
p701,p1976
p226,p603
p187,p1616
p158,p1580
p1175,p1415
p629,p757
p1741,p1876
p219,p1092
p615,p967
p457,p1147
p749,p1334
p411,p726
p814,p896
p486,p1232
p129,p264
p1169,p1337
p932,p1017
p1039,p1618
p685,p883
p615,p777
p665,p673
p386,p1630
p492,p1581
p396,p1870
p287,p867
p172,p336
p83,p1374
p1550,p1936
p192,p516
p351,p354
p317,p1213
p50,p1813
p2,p1142
p1042,p1161
p1249,p1369
p765,p1626
p246,p1154
p670,p1679
p876,p1448
p20,p1395
p1179,p1271
p1293,p1875
p1219,p1464
p1490,p1699
p1264,p1508
p787,p878
p97,p994
p697,p1027
p267,p1944
p737,p1777
p545,p1250
p1159,p1854
p469,p630
p292,p1909
p580,p773
p1303,p1984
p261,p279
p789,p1888
p949,p1215
p386,p416
p1106,p1276
p585,p1903
p1568,p1816
p224,p508
p262,p1537
p1201,p1864
p269,p846
p74,p290
p611,p665
p428,p796
p669,p1108
p785,p1790
p636,p1813
p14,p1006
p378,p664
p780,p1696
p426,p1505
p8,p16
p100,p1097
p1601,p1662
p1199,p1379
p519,p1717
p534,p1466
p1162,p1665
p604,p1128
p60,p1264
p793,p1955
p1289,p1333
p775,p1750
p79,p129
p470,p572
p344,p534
p1505,p1609
p643,p949
p1386,p1990
p861,p1540
p1388,p1954
p888,p1149
p485,p1010
p286,p856
p884,p1683
p1110,p1227
p756,p1732
p740,p1981
p1013,p1425
p184,p1368
p1118,p1280
p663,p1504
p263,p1197
p956,p1885
p1154,p1679
p1041,p1692
p953,p1221
p352,p494
p807,p820
p88,p1677
p680,p1284
p41,p1797
p840,p1975
p798,p1274
p932,p1141
p1214,p1638
p543,p562
p19,p831
p418,p1253
p1004,p1438
p793,p1997
p502,p1952
p774,p1968
p1822,p1963
p82,p1852
p43,p1549
p202,p1703
p453,p1352
p381,p1037
p269,p1577
p123,p1907
p264,p819
p132,p1176
p1435,p1695
p1656,p1734
p951,p1572
p578,p1025
p217,p1381
p1144,p1893
p1114,p1194
p438,p1060
p1280,p1315
p804,p1939
p1453,p1895
p848,p1084
p673,p1939
p838,p1097
p579,p1286
p1631,p1966
p2,p1941
p35,p1855
p145,p1856
p691,p1841
p152,p1454
p947,p1953
p250,p1131
p40,p875
p2,p1872
p294,p1603
p55,p1756
p1141,p1828
p460,p1366
p838,p1177
p572,p1755
p269,p287
p8,p1707
p482,p1156
p330,p675
p796,p1730
p719,p1156
p221,p1541
p795,p1055
p1069,p1613
p583,p1635
p60,p1827
p69,p740
p23,p583
p916,p1949
p863,p1881
p722,p1526
p740,p831
p296,p1345
p823,p1534
p15,p479
p1139,p1213
p1017,p1872
p250,p1972
p335,p1450
p448,p1300
p280,p831
p861,p1336
p695,p1902
p17,p1547
p1596,p1717
p1373,p1574
p2,p100
p327,p1097
p68,p1348
p332,p1278
p650,p1865
p509,p1732
p1058,p1149
p311,p442
p558,p941
p267,p1285
p33,p685
p45,p729
p985,p1609
p471,p1476
p335,p1667
p115,p1466
p741,p1766
p941,p1618
p873,p1954
p370,p1176
p629,p1079
p827,p1796
p107,p1245
p654,p1691
p29,p932
p774,p1531
p1,p1557
p280,p436
p230,p1167
p148,p1826
p675,p1746
p527,p1864
p577,p839
p57,p1053
p378,p387
p618,p1423
p798,p1996
p224,p385
p491,p1252
p105,p218
p986,p1152
p747,p1266
p919,p1773
p468,p1424
p301,p779
p473,p1337
p496,p813
p1181,p1928
p705,p1296
p1448,p1765
p387,p963
p508,p1829
p277,p770
p1069,p1391
p1078,p1767
p1075,p1671
p176,p198
p1227,p1362
p184,p392
p677,p1644
p3,p1274
p180,p298
p326,p1620
p1341,p1425
p285,p1466
p426,p1151
p431,p1327
p571,p1282
p1047,p1921
p120,p907
p1193,p1701
p960,p1452
p380,p961
p1613,p1912
p353,p965
p796,p863
p1382,p1945
p1304,p1732
p954,p1404
p293,p977
p172,p1619
p696,p1548
p601,p1077
p260,p1025
p692,p1287
p1263,p1297
p615,p1027
p922,p1744
p888,p968
p1219,p1936
p1858,p1955
p410,p1658
