p64,p1116
p459,p1817
p1283,p1770
p226,p1622
p665,p1965
p627,p877
p303,p432
p537,p1422
p55,p1429
p610,p1409
p377,p1803
p1430,p1718
p479,p1463
p1112,p1641
p1002,p1709
p509,p1688
p642,p1480
p853,p1405
p1645,p1680
p383,p1094
p494,p1124
p386,p1086
p1421,p1752
p1025,p1694
p257,p1187
p614,p1921
p306,p1776
p242,p1035
p1503,p1836
p1397,p1682
p265,p722
p274,p1581
p992,p1007
p327,p1568
p624,p1735
p1111,p1473
p666,p1404
p222,p723
p1077,p1774
p576,p1107
p100,p699
p178,p488
p1652,p1894
p1076,p1997
p966,p1427
p291,p976
p2,p71
p425,p891
p196,p621
p162,p1547
p546,p1772
p278,p805
p937,p1008
p1522,p1595
p503,p1595
p885,p1185
p234,p1386
p773,p947
p1139,p1366
p380,p1482
p254,p1966
p221,p1744
p1301,p1689
p802,p1550
p533,p1871
p353,p569
p1472,p1948
p842,p1641
p12,p1231
p294,p1552
p99,p654
p525,p767
p1426,p1529
p1813,p1871
p910,p1533
p220,p463
p1712,p1839
p402,p1945
p127,p1580
p262,p1436
p1002,p1327
p1189,p1385
p316,p1011
p312,p732
p713,p813
p1075,p1462
p60,p820
p297,p645
p375,p1240
p776,p1268
p1368,p1966
p83,p1315
p121,p1759
p19,p876
p1032,p1166
p1443,p1701
p1430,p1607
p202,p1380
p1153,p1560
p1267,p1491
p130,p682
p341,p1034
p724,p1235
p1752,p1903
p863,p1134
p1457,p1814
p996,p1840
p572,p1648
p1120,p1333
p1466,p1619
p163,p1154
p806,p873
p133,p1142
p930,p946
p373,p1127
p375,p413
p871,p1962
p831,p1522
p1313,p1889
p935,p1149
p188,p1570
p341,p816
p154,p1317
p794,p1151
p91,p1788
p1002,p1394
p47,p1297
p1347,p1947
p40,p663
p128,p152
p1523,p1863
p58,p1051
p776,p1610
p119,p1574
p1891,p1987
p492,p1332
p13,p1941
p199,p1164
p925,p1500
p1355,p1796
p391,p1210
p465,p1929
p876,p1146
p56,p947
p1175,p1487
p1447,p1490
p485,p655
p1697,p1992
p346,p1102
p598,p990
p618,p1457
p719,p789
p1249,p1853
p475,p1001
p213,p1455
p32,p1612
p36,p1668
p477,p1971
p448,p1445
p597,p1111
p848,p1111
p427,p1277
p841,p1891
p444,p811
p765,p1237
p569,p1763
p1486,p1873
p509,p1274
p361,p1778
p150,p365
p339,p760
p308,p512
p117,p694
p566,p930
p474,p897
p700,p1734
p478,p1923
p1138,p1383
p95,p1866
p751,p1844
p1361,p1643
p1050,p1332
p609,p884
p954,p1671
p194,p1284
p545,p749
p1291,p1746
p649,p1450
p182,p882
p1147,p1748
p675,p1668
p955,p1289
p1,p19
p731,p1925
p179,p702
p1338,p1670
p304,p687
p708,p1239
p1106,p1335
p588,p1992
p1085,p1512
p30,p739
p78,p1868
p1219,p1628
p498,p1191
p960,p1950
p106,p1241
p148,p1923
p67,p1084
p795,p1784
p1040,p1383
p927,p1822
p603,p1134
p286,p678
p186,p1828
p1613,p1651
p835,p996
p255,p658
p660,p1198
p1004,p1380
p754,p970
p640,p1861
p935,p1603
p138,p1862
p1232,p1509
p919,p950
p1216,p1930
p1013,p1170
p762,p1274
p339,p1595
p1221,p1259
p478,p1170
p163,p393
p618,p674
p814,p1700
p877,p1643
p619,p847
p481,p1118
p1183,p1396
p374,p1653
p627,p915
p505,p1672
p887,p1703
p668,p786
p657,p1577
p1056,p1163
p468,p1820
p1533,p1736
p201,p1852
p987,p1684
p807,p1058
p340,p1357
p106,p1933
p215,p842
p559,p567
p1043,p1884
p906,p1353
p844,p1599
p1216,p1601
p563,p1519
p808,p1170
p852,p1817
p611,p1659
p518,p1272
p113,p1840
p175,p198
p1068,p1869
p328,p1017
p728,p1004
p1655,p1914
p1576,p1684
p702,p1804
p327,p1063
p691,p1596
p769,p1538
p892,p1982
p464,p1884
p207,p1058
p1798,p1807
p332,p741
p59,p624
p442,p1301
p1075,p1684
p221,p1628
p613,p1608
p1,p386
p246,p1827
p1355,p1614
p1240,p1913
p193,p1420
p1415,p1763
p550,p1138
p1146,p1539
p770,p1887
p348,p1281
p600,p1046
p480,p704
p1418,p1803
p850,p1271
p654,p964
p314,p518
p616,p1373
p786,p1356
p4,p1500
p603,p1063
